User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12210,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:07:00,
ID1: Nalm6wt_AxB-FDA-C-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,214350
A,2,Sample X2,215128
A,3,Sample X3,221129
A,4,Sample X4,217933
A,5,Sample X5,210401
A,6,Sample X6,211535
A,7,Sample X7,209772
A,8,Sample X8,29250
A,9,Sample X9,214615
A,10,Sample X10,218722
A,11,Sample X11,219309
A,12,Sample X12,245795
A,13,Sample X13,224359
A,14,Sample X14,221211
A,15,Sample X15,215548
A,16,Sample X16,217095
A,17,Sample X17,216339
A,18,Sample X18,216229
A,19,Sample X19,220368
A,20,Sample X20,217650
A,21,Sample X21,216675
A,22,Sample X22,212810
A,23,Sample X23,212176
A,24,Sample X24,206308
B,1,Sample X25,214260
B,2,Sample X26,218820
B,3,Sample X27,216120
B,4,Sample X28,217514
B,5,Sample X29,210919
B,6,Sample X30,213644
B,7,Sample X31,209395
B,8,Sample X32,78175
B,9,Sample X33,215887
B,10,Sample X34,218868
B,11,Sample X35,217186
B,12,Sample X36,218894
B,13,Sample X37,221101
B,14,Sample X38,224039
B,15,Sample X39,215246
B,16,Sample X40,216987
B,17,Sample X41,212277
B,18,Sample X42,219113
B,19,Sample X43,217847
B,20,Sample X44,218144
B,21,Sample X45,216086
B,22,Sample X46,216422
B,23,Sample X47,211966
B,24,Sample X48,205650
C,1,Sample X49,212568
C,2,Sample X50,216894
C,3,Sample X51,217892
C,4,Sample X52,214131
C,5,Sample X53,219620
C,6,Sample X54,216697
C,7,Sample X55,215422
C,8,Sample X56,28812
C,9,Sample X57,215090
C,10,Sample X58,213217
C,11,Sample X59,217014
C,12,Sample X60,216439
C,13,Sample X61,219351
C,14,Sample X62,212662
C,15,Sample X63,217200
C,16,Sample X64,214043
C,17,Sample X65,216706
C,18,Sample X66,214098
C,19,Sample X67,218201
C,20,Sample X68,211858
C,21,Sample X69,213052
C,22,Sample X70,210136
C,23,Sample X71,210864
C,24,Sample X72,200755
D,1,Sample X73,211694
D,2,Sample X74,47454
D,3,Sample X75,212929
D,4,Sample X76,213561
D,5,Sample X77,216328
D,6,Sample X78,215045
D,7,Sample X79,29846
D,8,Sample X80,208274
D,9,Sample X81,210099
D,10,Sample X82,211535
D,11,Sample X83,210898
D,12,Sample X84,214622
D,13,Sample X85,209926
D,14,Sample X86,209927
D,15,Sample X87,208650
D,16,Sample X88,210770
D,17,Sample X89,208180
D,18,Sample X90,210427
D,19,Sample X91,207832
D,20,Sample X92,208861
D,21,Sample X93,207473
D,22,Sample X94,206963
D,23,Sample X95,42059
D,24,Sample X96,100552
E,1,Sample X97,207904
E,2,Sample X98,213224
E,3,Sample X99,229548
E,4,Sample X100,225638
E,5,Sample X101,212966
