User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12202,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:40:49,
ID1: Nalm6wt_AxB-FDA-A-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,217999
A,2,Sample X2,217778
A,3,Sample X3,223110
A,4,Sample X4,218493
A,5,Sample X5,213589
A,6,Sample X6,217192
A,7,Sample X7,164459
A,8,Sample X8,210079
A,9,Sample X9,198744
A,10,Sample X10,209740
A,11,Sample X11,214129
A,12,Sample X12,211915
A,13,Sample X13,214100
A,14,Sample X14,212498
A,15,Sample X15,216417
A,16,Sample X16,209651
A,17,Sample X17,211359
A,18,Sample X18,212216
A,19,Sample X19,210422
A,20,Sample X20,207748
A,21,Sample X21,214286
A,22,Sample X22,208158
A,23,Sample X23,206544
A,24,Sample X24,206584
B,1,Sample X25,212932
B,2,Sample X26,221108
B,3,Sample X27,119627
B,4,Sample X28,220756
B,5,Sample X29,214555
B,6,Sample X30,213418
B,7,Sample X31,209493
B,8,Sample X32,210774
B,9,Sample X33,210508
B,10,Sample X34,214780
B,11,Sample X35,211708
B,12,Sample X36,215132
B,13,Sample X37,211940
B,14,Sample X38,218007
B,15,Sample X39,212419
B,16,Sample X40,213758
B,17,Sample X41,210709
B,18,Sample X42,214444
B,19,Sample X43,212981
B,20,Sample X44,212954
B,21,Sample X45,212197
B,22,Sample X46,216691
B,23,Sample X47,208966
B,24,Sample X48,206574
C,1,Sample X49,216214
C,2,Sample X50,216846
C,3,Sample X51,221530
C,4,Sample X52,211726
C,5,Sample X53,225582
C,6,Sample X54,31905
C,7,Sample X55,28266
C,8,Sample X56,28002
C,9,Sample X57,29349
C,10,Sample X58,204316
C,11,Sample X59,29101
C,12,Sample X60,209436
C,13,Sample X61,216653
C,14,Sample X62,208958
C,15,Sample X63,220205
C,16,Sample X64,205580
C,17,Sample X65,212476
C,18,Sample X66,208774
C,19,Sample X67,211177
C,20,Sample X68,209384
C,21,Sample X69,217083
C,22,Sample X70,208382
C,23,Sample X71,212910
C,24,Sample X72,204373
D,1,Sample X73,212052
D,2,Sample X74,217844
D,3,Sample X75,220458
D,4,Sample X76,211217
D,5,Sample X77,223680
D,6,Sample X78,219185
D,7,Sample X79,86119
D,8,Sample X80,203596
D,9,Sample X81,201762
D,10,Sample X82,204864
D,11,Sample X83,203967
D,12,Sample X84,206831
D,13,Sample X85,202681
D,14,Sample X86,204335
D,15,Sample X87,201697
D,16,Sample X88,203093
D,17,Sample X89,203107
D,18,Sample X90,206588
D,19,Sample X91,204134
D,20,Sample X92,206653
D,21,Sample X93,206496
D,22,Sample X94,28659
D,23,Sample X95,57180
D,24,Sample X96,42285
E,1,Sample X97,212183
E,2,Sample X98,213604
E,3,Sample X99,227508
E,4,Sample X100,220878
E,5,Sample X101,30242
E,6,Sample X102,30570
E,7,Sample X103,204745
E,8,Sample X104,203493
E,9,Sample X105,32870
E,10,Sample X106,210038
E,11,Sample X107,212864
E,12,Sample X108,215875
E,13,Sample X109,201197
E,14,Sample X110,79644
E,15,Sample X111,208134
E,16,Sample X112,199403
E,17,Sample X113,209922
E,18,Sample X114,199976
E,19,Sample X115,112349
E,20,Sample X116,171403
E,21,Sample X117,209390
E,22,Sample X118,204653
E,23,Sample X119,53509
E,24,Sample X120,41791
F,1,Sample X121,29104
F,2,Sample X122,213633
F,3,Sample X123,219752
F,4,Sample X124,212553
F,5,Sample X125,30761
F,6,Sample X126,31047
F,7,Sample X127,198264
F,8,Sample X128,201654
F,9,Sample X129,195439
F,10,Sample X130,207134
F,11,Sample X131,212699
F,12,Sample X132,215048
F,13,Sample X133,200616
F,14,Sample X134,202165
F,15,Sample X135,195553
F,16,Sample X136,197920
F,17,Sample X137,196067
F,18,Sample X138,200727
F,19,Sample X139,192890
F,20,Sample X140,200356
F,21,Sample X141,28712
F,22,Sample X142,34112
F,23,Sample X143,42325
F,24,Sample X144,38622
G,1,Sample X145,205438
G,2,Sample X146,210518
G,3,Sample X147,210456
G,4,Sample X148,132851
