User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12205,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:50:45,
ID1: Nalm6wt_AxB-FDA-B-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,222725
A,2,Sample X2,221010
A,3,Sample X3,222300
A,4,Sample X4,216617
A,5,Sample X5,210352
A,6,Sample X6,174611
A,7,Sample X7,205455
A,8,Sample X8,165515
A,9,Sample X9,219126
A,10,Sample X10,214805
A,11,Sample X11,214841
A,12,Sample X12,28613
A,13,Sample X13,156996
A,14,Sample X14,215348
A,15,Sample X15,30712
A,16,Sample X16,212798
A,17,Sample X17,199251
A,18,Sample X18,212590
A,19,Sample X19,212048
A,20,Sample X20,211186
A,21,Sample X21,205864
A,22,Sample X22,210678
A,23,Sample X23,210275
A,24,Sample X24,208962
B,1,Sample X25,221738
B,2,Sample X26,222727
B,3,Sample X27,222899
B,4,Sample X28,222548
B,5,Sample X29,198045
B,6,Sample X30,188158
B,7,Sample X31,191552
B,8,Sample X32,169960
B,9,Sample X33,215009
B,10,Sample X34,217588
B,11,Sample X35,28132
B,12,Sample X36,28563
B,13,Sample X37,216870
B,14,Sample X38,220190
B,15,Sample X39,211610
B,16,Sample X40,210560
B,17,Sample X41,212398
B,18,Sample X42,215669
B,19,Sample X43,217393
B,20,Sample X44,216536
B,21,Sample X45,214452
B,22,Sample X46,213850
B,23,Sample X47,211142
B,24,Sample X48,208637
C,1,Sample X49,217975
C,2,Sample X50,223003
C,3,Sample X51,222234
C,4,Sample X52,223729
C,5,Sample X53,224337
C,6,Sample X54,220762
C,7,Sample X55,196577
C,8,Sample X56,212208
C,9,Sample X57,212868
C,10,Sample X58,211882
C,11,Sample X59,33778
C,12,Sample X60,161081
C,13,Sample X61,205498
C,14,Sample X62,207226
C,15,Sample X63,31064
C,16,Sample X64,155981
C,17,Sample X65,30816
C,18,Sample X66,79228
C,19,Sample X67,212058
C,20,Sample X68,211554
C,21,Sample X69,212481
C,22,Sample X70,212237
C,23,Sample X71,210778
C,24,Sample X72,204505
D,1,Sample X73,219009
D,2,Sample X74,221549
D,3,Sample X75,218380
D,4,Sample X76,205170
D,5,Sample X77,219372
D,6,Sample X78,214118
D,7,Sample X79,210787
D,8,Sample X80,209186
D,9,Sample X81,209062
D,10,Sample X82,207844
D,11,Sample X83,46076
D,12,Sample X84,29578
D,13,Sample X85,202796
D,14,Sample X86,200778
D,15,Sample X87,31568
D,16,Sample X88,204124
D,17,Sample X89,31195
D,18,Sample X90,207133
D,19,Sample X91,207218
D,20,Sample X92,206807
D,21,Sample X93,209292
D,22,Sample X94,208168
D,23,Sample X95,49690
D,24,Sample X96,102286
E,1,Sample X97,31724
E,2,Sample X98,28300
E,3,Sample X99,28728
E,4,Sample X100,220922
E,5,Sample X101,213037
E,6,Sample X102,211395
E,7,Sample X103,206889
E,8,Sample X104,198848
E,9,Sample X105,203209
E,10,Sample X106,206187
E,11,Sample X107,209106
E,12,Sample X108,204687
E,13,Sample X109,138900
E,14,Sample X110,195553
E,15,Sample X111,201726
E,16,Sample X112,199483
E,17,Sample X113,204135
E,18,Sample X114,203245
E,19,Sample X115,202589
E,20,Sample X116,203832
E,21,Sample X117,205146
E,22,Sample X118,206256
E,23,Sample X119,49716
E,24,Sample X120,39811
F,1,Sample X121,28301
F,2,Sample X122,86431
F,3,Sample X123,29969
F,4,Sample X124,211274
F,5,Sample X125,28724
F,6,Sample X126,116011
F,7,Sample X127,206119
F,8,Sample X128,203374
F,9,Sample X129,201394
F,10,Sample X130,201276
F,11,Sample X131,197369
F,12,Sample X132,198196
F,13,Sample X133,190364
F,14,Sample X134,189317
F,15,Sample X135,194924
F,16,Sample X136,196281
F,17,Sample X137,199268
F,18,Sample X138,199520
F,19,Sample X139,199027
F,20,Sample X140,199141
F,21,Sample X141,200704
F,22,Sample X142,203028
F,23,Sample X143,37719
F,24,Sample X144,42217
G,1,Sample X145,213823
G,2,Sample X146,218026
G,3,Sample X147,197696
G,4,Sample X148,210894
G,5,Sample X149,208309
G,6,Sample X150,204545
G,7,Sample X151,201932
G,8,Sample X152,199070
G,9,Sample X153,206026
G,10,Sample X154,199316
G,11,Sample X155,197035
G,12,Sample X156,190212
G,13,Sample X157,193768
G,14,Sample X158,191380
G,15,Sample X159,186393
G,16,Sample X160,193462
G,17,Sample X161,195857
G,18,Sample X162,196274
G,19,Sample X163,197542
G,20,Sample X164,198673
G,21,Sample X165,202163
G,22,Sample X166,202629
G,23,Sample X167,27491
G,24,Sample X168,27319
H,1,Sample X169,211779
H,2,Sample X170,217268
H,3,Sample X171,211931
H,4,Sample X172,210352
H,5,Sample X173,207308
H,6,Sample X174,203634
H,7,Sample X175,199682
H,8,Sample X176,197015
H,9,Sample X177,196607
H,10,Sample X178,197458
H,11,Sample X179,191506
H,12,Sample X180,192498
H,13,Sample X181,190216
H,14,Sample X182,188798
H,15,Sample X183,189572
H,16,Sample X184,192728
H,17,Sample X185,191739
H,18,Sample X186,194724
H,19,Sample X187,193219
H,20,Sample X188,196814
H,21,Sample X189,200134
H,22,Sample X190,201353
H,23,Sample X191,27085
H,24,Sample X192,26930
I,1,Sample X193,210623
I,2,Sample X194,216172
I,3,Sample X195,216702
I,4,Sample X196,213258
I,5,Sample X197,206930
I,6,Sample X198,203441
I,7,Sample X199,197922
I,8,Sample X200,198674
I,9,Sample X201,199479
I,10,Sample X202,197431
I,11,Sample X203,193132
I,12,Sample X204,192586
I,13,Sample X205,186473
I,14,Sample X206,181816
I,15,Sample X207,29501
I,16,Sample X208,191501
I,17,Sample X209,192359
I,18,Sample X210,193952
I,19,Sample X211,195763
I,20,Sample X212,196658
I,21,Sample X213,205276
I,22,Sample X214,201919
I,23,Sample X215,27347
I,24,Sample X216,27108
J,1,Sample X217,213799
J,2,Sample X218,215489
J,3,Sample X219,213674
J,4,Sample X220,209827
J,5,Sample X221,205556
J,6,Sample X222,202647
J,7,Sample X223,200288
J,8,Sample X224,199494
J,9,Sample X225,198292
J,10,Sample X226,192486
J,11,Sample X227,193764
J,12,Sample X228,194192
J,13,Sample X229,180739
J,14,Sample X230,192934
J,15,Sample X231,29234
J,16,Sample X232,190923
J,17,Sample X233,135654
J,18,Sample X234,195263
J,19,Sample X235,195492
J,20,Sample X236,197060
J,21,Sample X237,199231
J,22,Sample X238,201551
J,23,Sample X239,26945
J,24,Sample X240,26832
K,1,Sample X241,210510
K,2,Sample X242,212911
K,3,Sample X243,217925
K,4,Sample X244,210752
K,5,Sample X245,206448
K,6,Sample X246,204584
K,7,Sample X247,202940
K,8,Sample X248,200846
K,9,Sample X249,201961
K,10,Sample X250,82550
K,11,Sample X251,146088
K,12,Sample X252,197035
K,13,Sample X253,195096
K,14,Sample X254,195204
K,15,Sample X255,201626
K,16,Sample X256,199771
K,17,Sample X257,203268
K,18,Sample X258,203262
K,19,Sample X259,200877
K,20,Sample X260,201017
K,21,Sample X261,203372
K,22,Sample X262,203560
K,23,Sample X263,27195
K,24,Sample X264,26986
L,1,Sample X265,212664
L,2,Sample X266,211934
L,3,Sample X267,215542
L,4,Sample X268,213718
L,5,Sample X269,210141
L,6,Sample X270,206675
L,7,Sample X271,202596
L,8,Sample X272,203547
L,9,Sample X273,203500
L,10,Sample X274,203845
L,11,Sample X275,201298
L,12,Sample X276,200768
L,13,Sample X277,200025
L,14,Sample X278,199403
L,15,Sample X279,199647
L,16,Sample X280,201304
L,17,Sample X281,203197
L,18,Sample X282,204649
L,19,Sample X283,203811
L,20,Sample X284,202650
L,21,Sample X285,205070
L,22,Sample X286,206789
L,23,Sample X287,28547
L,24,Sample X288,27461
M,1,Sample X289,195581
M,2,Sample X290,208454
M,3,Sample X291,210352
M,4,Sample X292,210351
M,5,Sample X293,209742
M,6,Sample X294,208144
M,7,Sample X295,202648
M,8,Sample X296,201942
M,9,Sample X297,205724
M,10,Sample X298,206125
M,11,Sample X299,208758
M,12,Sample X300,209973
M,13,Sample X301,212761
M,14,Sample X302,210388
M,15,Sample X303,203179
M,16,Sample X304,204752
M,17,Sample X305,202908
M,18,Sample X306,207020
M,19,Sample X307,208172
M,20,Sample X308,208025
M,21,Sample X309,210114
M,22,Sample X310,208440
M,23,Sample X311,37092
M,24,Sample X312,29622
N,1,Sample X313,203750
N,2,Sample X314,213043
N,3,Sample X315,212516
N,4,Sample X316,212184
N,5,Sample X317,210081
N,6,Sample X318,210432
N,7,Sample X319,206117
N,8,Sample X320,207264
N,9,Sample X321,210599
N,10,Sample X322,210991
N,11,Sample X323,212684
N,12,Sample X324,212807
N,13,Sample X325,212271
N,14,Sample X326,214637
N,15,Sample X327,207895
N,16,Sample X328,208788
N,17,Sample X329,208465
N,18,Sample X330,210528
N,19,Sample X331,212942
N,20,Sample X332,211211
N,21,Sample X333,211474
N,22,Sample X334,211358
N,23,Sample X335,208122
N,24,Sample X336,201527
O,1,Sample X337,201233
O,2,Sample X338,214571
O,3,Sample X339,213476
O,4,Sample X340,214044
O,5,Sample X341,210696
O,6,Sample X342,213764
O,7,Sample X343,211419
O,8,Sample X344,27441
O,9,Sample X345,200608
O,10,Sample X346,211728
O,11,Sample X347,214909
O,12,Sample X348,215266
O,13,Sample X349,215205
O,14,Sample X350,215356
O,15,Sample X351,216458
O,16,Sample X352,214976
O,17,Sample X353,213166
O,18,Sample X354,214725
O,19,Sample X355,216612
O,20,Sample X356,216164
O,21,Sample X357,216456
O,22,Sample X358,215864
O,23,Sample X359,212462
O,24,Sample X360,207778
P,1,Sample X361,212262
P,2,Sample X362,212565
P,3,Sample X363,210034
P,4,Sample X364,208518
P,5,Sample X365,208191
P,6,Sample X366,210481
P,7,Sample X367,197611
P,8,Sample X368,120480
P,9,Sample X369,209526
P,10,Sample X370,212125
P,11,Sample X371,211656
P,12,Sample X372,211907
P,13,Sample X373,211553
P,14,Sample X374,27052
P,15,Sample X375,210181
P,16,Sample X376,210717
P,17,Sample X377,209504
P,18,Sample X378,208892
P,19,Sample X379,211976
P,20,Sample X380,211412
P,21,Sample X381,210403
P,22,Sample X382,208954
P,23,Sample X383,206470
P,24,Sample X384,206358
