User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12213,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:15:43,
ID1: Nalm6wt_AxB-FDA-D-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,210170
A,2,Sample X2,210327
A,3,Sample X3,210070
A,4,Sample X4,209686
A,5,Sample X5,206274
A,6,Sample X6,188421
A,7,Sample X7,206548
A,8,Sample X8,204363
A,9,Sample X9,208516
A,10,Sample X10,207331
A,11,Sample X11,209134
A,12,Sample X12,65554
A,13,Sample X13,217658
A,14,Sample X14,212796
A,15,Sample X15,205838
A,16,Sample X16,205461
A,17,Sample X17,225814
A,18,Sample X18,211501
A,19,Sample X19,204266
A,20,Sample X20,204679
A,21,Sample X21,206041
A,22,Sample X22,201559
A,23,Sample X23,204264
A,24,Sample X24,201572
B,1,Sample X25,210246
B,2,Sample X26,211425
B,3,Sample X27,212005
B,4,Sample X28,209517
B,5,Sample X29,211170
B,6,Sample X30,205543
B,7,Sample X31,200552
B,8,Sample X32,198028
B,9,Sample X33,204707
B,10,Sample X34,204619
B,11,Sample X35,206042
B,12,Sample X36,207536
B,13,Sample X37,205613
B,14,Sample X38,206442
B,15,Sample X39,203431
B,16,Sample X40,202490
B,17,Sample X41,204510
B,18,Sample X42,202260
B,19,Sample X43,203918
B,20,Sample X44,206521
B,21,Sample X45,204613
B,22,Sample X46,207038
B,23,Sample X47,204625
B,24,Sample X48,197755
C,1,Sample X49,205671
C,2,Sample X50,210205
C,3,Sample X51,208519
C,4,Sample X52,205388
C,5,Sample X53,210204
C,6,Sample X54,205706
C,7,Sample X55,38634
C,8,Sample X56,196593
C,9,Sample X57,201405
C,10,Sample X58,200127
C,11,Sample X59,199946
C,12,Sample X60,200939
C,13,Sample X61,200268
C,14,Sample X62,200704
C,15,Sample X63,195551
C,16,Sample X64,197083
C,17,Sample X65,194888
C,18,Sample X66,196902
C,19,Sample X67,165764
C,20,Sample X68,182502
C,21,Sample X69,200393
C,22,Sample X70,201028
C,23,Sample X71,203000
C,24,Sample X72,194248
D,1,Sample X73,204254
D,2,Sample X74,208489
D,3,Sample X75,205576
D,4,Sample X76,202478
D,5,Sample X77,204820
D,6,Sample X78,214486
D,7,Sample X79,198500
D,8,Sample X80,195423
D,9,Sample X81,196651
D,10,Sample X82,196217
D,11,Sample X83,196505
D,12,Sample X84,197021
D,13,Sample X85,196216
D,14,Sample X86,197680
