User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12214,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:18:49,
ID1: Nalm6wt_AxB-FDA-D-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,215311
A,2,Sample X2,211948
A,3,Sample X3,216339
A,4,Sample X4,216212
A,5,Sample X5,216558
A,6,Sample X6,184180
A,7,Sample X7,215779
A,8,Sample X8,211380
A,9,Sample X9,212355
A,10,Sample X10,213388
A,11,Sample X11,218852
A,12,Sample X12,59338
A,13,Sample X13,221915
A,14,Sample X14,218480
A,15,Sample X15,214918
A,16,Sample X16,212682
A,17,Sample X17,246030
A,18,Sample X18,220390
A,19,Sample X19,215641
A,20,Sample X20,209825
A,21,Sample X21,209204
A,22,Sample X22,206467
A,23,Sample X23,207893
A,24,Sample X24,204402
B,1,Sample X25,216266
B,2,Sample X26,219926
B,3,Sample X27,221156
B,4,Sample X28,217966
B,5,Sample X29,215800
B,6,Sample X30,214278
B,7,Sample X31,207155
B,8,Sample X32,206892
B,9,Sample X33,213342
B,10,Sample X34,214808
B,11,Sample X35,213031
B,12,Sample X36,223061
B,13,Sample X37,217653
B,14,Sample X38,220945
B,15,Sample X39,212057
B,16,Sample X40,214171
B,17,Sample X41,212960
B,18,Sample X42,214903
B,19,Sample X43,214338
B,20,Sample X44,214379
B,21,Sample X45,212344
B,22,Sample X46,215298
B,23,Sample X47,211678
B,24,Sample X48,205398
C,1,Sample X49,210050
C,2,Sample X50,216850
C,3,Sample X51,218232
C,4,Sample X52,213247
C,5,Sample X53,218205
C,6,Sample X54,214069
C,7,Sample X55,38439
C,8,Sample X56,204500
C,9,Sample X57,210373
C,10,Sample X58,208772
C,11,Sample X59,216124
C,12,Sample X60,209602
C,13,Sample X61,210373
C,14,Sample X62,207048
C,15,Sample X63,208135
C,16,Sample X64,207543
C,17,Sample X65,203260
C,18,Sample X66,201842
C,19,Sample X67,202619
C,20,Sample X68,202294
C,21,Sample X69,206026
C,22,Sample X70,204679
C,23,Sample X71,210541
C,24,Sample X72,201132
D,1,Sample X73,210376
D,2,Sample X74,218081
D,3,Sample X75,215580
D,4,Sample X76,213791
D,5,Sample X77,214657
D,6,Sample X78,230156
D,7,Sample X79,206423
D,8,Sample X80,205309
D,9,Sample X81,204110
D,10,Sample X82,205114
D,11,Sample X83,204790
D,12,Sample X84,206430
D,13,Sample X85,202951
D,14,Sample X86,202690
D,15,Sample X87,201160
D,16,Sample X88,204347
D,17,Sample X89,193551
D,18,Sample X90,197712
D,19,Sample X91,196857
D,20,Sample X92,175297
D,21,Sample X93,202861
D,22,Sample X94,206083
D,23,Sample X95,31012
D,24,Sample X96,57856
E,1,Sample X97,210278
E,2,Sample X98,215291
E,3,Sample X99,233650
E,4,Sample X100,225438
E,5,Sample X101,214389
E,6,Sample X102,204578
E,7,Sample X103,207686
E,8,Sample X104,201269
E,9,Sample X105,204588
E,10,Sample X106,203325
E,11,Sample X107,209150
E,12,Sample X108,212913
E,13,Sample X109,202517
E,14,Sample X110,196960
E,15,Sample X111,185008
E,16,Sample X112,182950
E,17,Sample X113,81036
E,18,Sample X114,31088
E,19,Sample X115,31468
E,20,Sample X116,32196
E,21,Sample X117,110515
E,22,Sample X118,126468
E,23,Sample X119,33408
E,24,Sample X120,30318
F,1,Sample X121,209900
F,2,Sample X122,216389
F,3,Sample X123,225754
F,4,Sample X124,221328
F,5,Sample X125,206035
F,6,Sample X126,204485
F,7,Sample X127,201748
F,8,Sample X128,202238
F,9,Sample X129,201856
F,10,Sample X130,33132
F,11,Sample X131,204928
F,12,Sample X132,208612
F,13,Sample X133,197079
F,14,Sample X134,196948
F,15,Sample X135,180818
F,16,Sample X136,185588
F,17,Sample X137,126660
F,18,Sample X138,129849
F,19,Sample X139,34891
F,20,Sample X140,34512
F,21,Sample X141,146540
F,22,Sample X142,95824
F,23,Sample X143,35456
F,24,Sample X144,29229
G,1,Sample X145,208604
G,2,Sample X146,213209
G,3,Sample X147,215700
G,4,Sample X148,208207
G,5,Sample X149,204088
G,6,Sample X150,187321
G,7,Sample X151,202458
G,8,Sample X152,200917
G,9,Sample X153,206820
G,10,Sample X154,199713
G,11,Sample X155,192079
G,12,Sample X156,191394
G,13,Sample X157,180472
G,14,Sample X158,191478
G,15,Sample X159,165941
G,16,Sample X160,164176
G,17,Sample X161,174800
G,18,Sample X162,176266
G,19,Sample X163,186708
G,20,Sample X164,189173
G,21,Sample X165,199511
G,22,Sample X166,197095
G,23,Sample X167,28192
G,24,Sample X168,27544
H,1,Sample X169,205562
H,2,Sample X170,216110
H,3,Sample X171,209100
H,4,Sample X172,207890
H,5,Sample X173,34860
H,6,Sample X174,41987
H,7,Sample X175,194343
H,8,Sample X176,195606
H,9,Sample X177,198606
H,10,Sample X178,203366
H,11,Sample X179,189195
H,12,Sample X180,191548
H,13,Sample X181,162538
H,14,Sample X182,175166
H,15,Sample X183,164326
H,16,Sample X184,166934
H,17,Sample X185,172843
H,18,Sample X186,181708
H,19,Sample X187,186296
H,20,Sample X188,167812
H,21,Sample X189,196054
H,22,Sample X190,200366
H,23,Sample X191,27306
H,24,Sample X192,27332
I,1,Sample X193,205040
I,2,Sample X194,205893
I,3,Sample X195,212560
I,4,Sample X196,205697
I,5,Sample X197,196997
I,6,Sample X198,192502
I,7,Sample X199,31483
I,8,Sample X200,29083
I,9,Sample X201,184615
I,10,Sample X202,185666
I,11,Sample X203,160554
I,12,Sample X204,180792
I,13,Sample X205,206366
I,14,Sample X206,181831
I,15,Sample X207,193453
I,16,Sample X208,183266
I,17,Sample X209,170200
I,18,Sample X210,165466
I,19,Sample X211,193967
I,20,Sample X212,196188
I,21,Sample X213,205513
I,22,Sample X214,203004
I,23,Sample X215,27621
I,24,Sample X216,27025
J,1,Sample X217,203962
J,2,Sample X218,210253
J,3,Sample X219,206847
J,4,Sample X220,206080
J,5,Sample X221,191740
J,6,Sample X222,197040
J,7,Sample X223,102348
J,8,Sample X224,172208
J,9,Sample X225,173906
J,10,Sample X226,185732
J,11,Sample X227,179206
J,12,Sample X228,185104
J,13,Sample X229,175294
J,14,Sample X230,182565
J,15,Sample X231,28059
J,16,Sample X232,75190
J,17,Sample X233,165066
J,18,Sample X234,174686
J,19,Sample X235,194412
J,20,Sample X236,198214
J,21,Sample X237,207054
J,22,Sample X238,218850
J,23,Sample X239,26666
J,24,Sample X240,26341
K,1,Sample X241,199336
K,2,Sample X242,203968
K,3,Sample X243,217756
K,4,Sample X244,209141
K,5,Sample X245,192175
K,6,Sample X246,184799
K,7,Sample X247,195248
K,8,Sample X248,35780
K,9,Sample X249,180222
K,10,Sample X250,35960
K,11,Sample X251,31180
K,12,Sample X252,30499
K,13,Sample X253,187724
K,14,Sample X254,182892
K,15,Sample X255,196428
K,16,Sample X256,193707
K,17,Sample X257,197542
K,18,Sample X258,190745
K,19,Sample X259,37779
K,20,Sample X260,195855
K,21,Sample X261,190012
K,22,Sample X262,186428
K,23,Sample X263,26589
K,24,Sample X264,26522
L,1,Sample X265,201712
L,2,Sample X266,212611
L,3,Sample X267,208414
L,4,Sample X268,211345
L,5,Sample X269,189363
L,6,Sample X270,187756
L,7,Sample X271,116633
L,8,Sample X272,189944
L,9,Sample X273,135215
L,10,Sample X274,188924
L,11,Sample X275,32556
L,12,Sample X276,34906
L,13,Sample X277,189052
L,14,Sample X278,193860
L,15,Sample X279,188361
L,16,Sample X280,205119
L,17,Sample X281,192082
L,18,Sample X282,199054
L,19,Sample X283,198607
L,20,Sample X284,201786
L,21,Sample X285,184859
L,22,Sample X286,187453
L,23,Sample X287,35536
L,24,Sample X288,45718
M,1,Sample X289,206336
M,2,Sample X290,205182
M,3,Sample X291,194242
M,4,Sample X292,191108
M,5,Sample X293,55998
M,6,Sample X294,174415
M,7,Sample X295,196000
M,8,Sample X296,189270
M,9,Sample X297,31877
M,10,Sample X298,149589
M,11,Sample X299,195885
M,12,Sample X300,191498
M,13,Sample X301,204598
M,14,Sample X302,203406
M,15,Sample X303,199718
M,16,Sample X304,198039
M,17,Sample X305,201397
M,18,Sample X306,199050
M,19,Sample X307,183764
M,20,Sample X308,178576
M,21,Sample X309,186434
M,22,Sample X310,184329
M,23,Sample X311,43174
M,24,Sample X312,98008
N,1,Sample X313,205258
N,2,Sample X314,208925
N,3,Sample X315,184375
N,4,Sample X316,206534
N,5,Sample X317,181849
N,6,Sample X318,28386
N,7,Sample X319,196568
N,8,Sample X320,197312
N,9,Sample X321,202589
N,10,Sample X322,31999
N,11,Sample X323,193275
N,12,Sample X324,199502
N,13,Sample X325,207307
N,14,Sample X326,208892
N,15,Sample X327,201632
N,16,Sample X328,203710
N,17,Sample X329,201649
N,18,Sample X330,138336
N,19,Sample X331,186272
N,20,Sample X332,195758
N,21,Sample X333,185190
N,22,Sample X334,189746
N,23,Sample X335,188484
N,24,Sample X336,189100
O,1,Sample X337,214855
O,2,Sample X338,209780
O,3,Sample X339,204822
O,4,Sample X340,203353
O,5,Sample X341,194194
O,6,Sample X342,185980
O,7,Sample X343,191819
O,8,Sample X344,188842
O,9,Sample X345,191365
O,10,Sample X346,195439
O,11,Sample X347,200452
O,12,Sample X348,201994
O,13,Sample X349,195027
O,14,Sample X350,190006
O,15,Sample X351,191003
O,16,Sample X352,187668
O,17,Sample X353,174132
O,18,Sample X354,173445
O,19,Sample X355,192621
O,20,Sample X356,188238
O,21,Sample X357,203404
O,22,Sample X358,202654
O,23,Sample X359,202202
O,24,Sample X360,195249
P,1,Sample X361,214675
P,2,Sample X362,210607
P,3,Sample X363,199989
P,4,Sample X364,199641
P,5,Sample X365,183478
P,6,Sample X366,182685
P,7,Sample X367,188448
P,8,Sample X368,186041
P,9,Sample X369,187040
P,10,Sample X370,191554
P,11,Sample X371,184478
P,12,Sample X372,192864
P,13,Sample X373,177569
P,14,Sample X374,183533
P,15,Sample X375,180836
P,16,Sample X376,186148
P,17,Sample X377,138156
P,18,Sample X378,167289
P,19,Sample X379,172634
P,20,Sample X380,179125
P,21,Sample X381,194954
P,22,Sample X382,196635
P,23,Sample X383,194705
P,24,Sample X384,193228
