User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12218,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:31:01,
ID1: Nalm6wt_AxB-FDA-E-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
J,19,Sample X235,197703
J,20,Sample X236,198222
J,21,Sample X237,214912
J,22,Sample X238,218708
J,23,Sample X239,26881
J,24,Sample X240,27226
K,1,Sample X241,202181
K,2,Sample X242,202748
K,3,Sample X243,209098
K,4,Sample X244,204955
K,5,Sample X245,206538
K,6,Sample X246,181214
K,7,Sample X247,201589
K,8,Sample X248,197338
K,9,Sample X249,205665
K,10,Sample X250,197525
K,11,Sample X251,107183
K,12,Sample X252,118419
K,13,Sample X253,202010
K,14,Sample X254,193640
K,15,Sample X255,202698
K,16,Sample X256,198858
K,17,Sample X257,209440
K,18,Sample X258,199378
K,19,Sample X259,43131
K,20,Sample X260,201289
K,21,Sample X261,210972
K,22,Sample X262,201702
K,23,Sample X263,27243
K,24,Sample X264,26814
L,1,Sample X265,198793
L,2,Sample X266,203602
L,3,Sample X267,208160
L,4,Sample X268,208172
L,5,Sample X269,201100
L,6,Sample X270,202207
L,7,Sample X271,200023
L,8,Sample X272,199715
L,9,Sample X273,201642
L,10,Sample X274,200102
L,11,Sample X275,138365
L,12,Sample X276,165930
L,13,Sample X277,197808
L,14,Sample X278,197945
L,15,Sample X279,199938
L,16,Sample X280,201530
L,17,Sample X281,202532
L,18,Sample X282,203646
L,19,Sample X283,202556
L,20,Sample X284,203070
L,21,Sample X285,204128
L,22,Sample X286,203766
L,23,Sample X287,54986
L,24,Sample X288,31122
M,1,Sample X289,203154
M,2,Sample X290,203581
M,3,Sample X291,215142
M,4,Sample X292,216760
M,5,Sample X293,208150
M,6,Sample X294,201001
M,7,Sample X295,201929
M,8,Sample X296,197123
M,9,Sample X297,210310
M,10,Sample X298,203483
M,11,Sample X299,211466
M,12,Sample X300,204910
M,13,Sample X301,212726
M,14,Sample X302,204420
M,15,Sample X303,28519
M,16,Sample X304,196290
M,17,Sample X305,207634
M,18,Sample X306,202732
M,19,Sample X307,212954
M,20,Sample X308,201118
M,21,Sample X309,208526
M,22,Sample X310,203246
M,23,Sample X311,39090
M,24,Sample X312,94686
N,1,Sample X313,202684
N,2,Sample X314,204205
N,3,Sample X315,208236
N,4,Sample X316,209920
N,5,Sample X317,202509
N,6,Sample X318,203281
N,7,Sample X319,199097
N,8,Sample X320,201486
N,9,Sample X321,203653
N,10,Sample X322,205291
N,11,Sample X323,206718
N,12,Sample X324,209867
N,13,Sample X325,209628
N,14,Sample X326,211934
N,15,Sample X327,202543
N,16,Sample X328,204598
N,17,Sample X329,203888
N,18,Sample X330,205847
N,19,Sample X331,203900
N,20,Sample X332,205958
N,21,Sample X333,205830
N,22,Sample X334,206447
N,23,Sample X335,204670
N,24,Sample X336,201511
O,1,Sample X337,184161
O,2,Sample X338,205910
O,3,Sample X339,204536
O,4,Sample X340,199458
O,5,Sample X341,204805
O,6,Sample X342,201973
O,7,Sample X343,208303
O,8,Sample X344,200666
O,9,Sample X345,210205
O,10,Sample X346,205572
O,11,Sample X347,212599
O,12,Sample X348,207205
O,13,Sample X349,213647
O,14,Sample X350,202478
O,15,Sample X351,51124
O,16,Sample X352,207446
O,17,Sample X353,212169
O,18,Sample X354,205592
O,19,Sample X355,216111
O,20,Sample X356,208120
O,21,Sample X357,213582
O,22,Sample X358,207338
O,23,Sample X359,205644
O,24,Sample X360,202160
P,1,Sample X361,204751
P,2,Sample X362,203595
P,3,Sample X363,198844
P,4,Sample X364,200245
P,5,Sample X365,198381
P,6,Sample X366,200032
P,7,Sample X367,198020
P,8,Sample X368,198842
P,9,Sample X369,200144
P,10,Sample X370,202748
P,11,Sample X371,202101
P,12,Sample X372,202345
P,13,Sample X373,202652
P,14,Sample X374,201179
P,15,Sample X375,200645
P,16,Sample X376,202074
P,17,Sample X377,200084
P,18,Sample X378,202589
P,19,Sample X379,204482
P,20,Sample X380,203968
P,21,Sample X381,201421
P,22,Sample X382,203973
P,23,Sample X383,203104
P,24,Sample X384,206160
