User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12211,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:09:52,
ID1: Nalm6wt_AxB-FDA-C-03_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,203034
A,2,Sample X2,204865
A,3,Sample X3,209193
A,4,Sample X4,207649
A,5,Sample X5,200899
A,6,Sample X6,198882
A,7,Sample X7,200224
A,8,Sample X8,28470
A,9,Sample X9,206198
A,10,Sample X10,209449
A,11,Sample X11,209118
A,12,Sample X12,238694
A,13,Sample X13,215148
A,14,Sample X14,214089
A,15,Sample X15,204486
A,16,Sample X16,206084
A,17,Sample X17,202795
A,18,Sample X18,204659
A,19,Sample X19,207481
A,20,Sample X20,206329
A,21,Sample X21,205871
A,22,Sample X22,201942
A,23,Sample X23,198303
A,24,Sample X24,197269
B,1,Sample X25,206284
B,2,Sample X26,212446
B,3,Sample X27,212716
B,4,Sample X28,212799
B,5,Sample X29,202650
B,6,Sample X30,204315
B,7,Sample X31,200920
B,8,Sample X32,52726
B,9,Sample X33,207864
B,10,Sample X34,208534
B,11,Sample X35,206816
B,12,Sample X36,209844
B,13,Sample X37,210143
B,14,Sample X38,211699
B,15,Sample X39,205949
B,16,Sample X40,206960
B,17,Sample X41,202187
B,18,Sample X42,208478
B,19,Sample X43,207718
B,20,Sample X44,206926
B,21,Sample X45,205616
B,22,Sample X46,205740
B,23,Sample X47,202703
B,24,Sample X48,196019
C,1,Sample X49,204570
C,2,Sample X50,210998
C,3,Sample X51,209426
C,4,Sample X52,208246
C,5,Sample X53,209922
C,6,Sample X54,208321
C,7,Sample X55,202513
C,8,Sample X56,28425
C,9,Sample X57,202519
C,10,Sample X58,203915
C,11,Sample X59,205014
C,12,Sample X60,205688
C,13,Sample X61,203711
C,14,Sample X62,203085
C,15,Sample X63,203338
C,16,Sample X64,202519
C,17,Sample X65,202293
C,18,Sample X66,203487
C,19,Sample X67,200930
C,20,Sample X68,200970
C,21,Sample X69,202278
C,22,Sample X70,202334
C,23,Sample X71,197799
C,24,Sample X72,191987
D,1,Sample X73,204953
D,2,Sample X74,48079
D,3,Sample X75,208760
D,4,Sample X76,207391
D,5,Sample X77,211571
D,6,Sample X78,207419
D,7,Sample X79,29136
D,8,Sample X80,201567
D,9,Sample X81,201892
D,10,Sample X82,203470
D,11,Sample X83,201636
D,12,Sample X84,203271
D,13,Sample X85,201879
D,14,Sample X86,200555
D,15,Sample X87,199461
D,16,Sample X88,201635
D,17,Sample X89,198166
D,18,Sample X90,200810
D,19,Sample X91,196903
D,20,Sample X92,188731
D,21,Sample X93,199906
D,22,Sample X94,199104
D,23,Sample X95,39881
D,24,Sample X96,110962
E,1,Sample X97,203082
E,2,Sample X98,209873
E,3,Sample X99,213529
E,4,Sample X100,210938
E,5,Sample X101,205320
E,6,Sample X102,203764
E,7,Sample X103,200682
E,8,Sample X104,199922
E,9,Sample X105,200380
E,10,Sample X106,199973
E,11,Sample X107,206702
E,12,Sample X108,207417
E,13,Sample X109,196265
E,14,Sample X110,191659
E,15,Sample X111,194882
E,16,Sample X112,194762
E,17,Sample X113,52159
E,18,Sample X114,195365
E,19,Sample X115,30552
E,20,Sample X116,29500
E,21,Sample X117,195450
E,22,Sample X118,196265
E,23,Sample X119,51460
E,24,Sample X120,50064
F,1,Sample X121,202667
F,2,Sample X122,207645
F,3,Sample X123,214022
F,4,Sample X124,229399
F,5,Sample X125,204898
F,6,Sample X126,29878
F,7,Sample X127,200602
F,8,Sample X128,200089
F,9,Sample X129,197997
F,10,Sample X130,31367
F,11,Sample X131,205512
F,12,Sample X132,207160
F,13,Sample X133,194317
F,14,Sample X134,185965
F,15,Sample X135,191303
F,16,Sample X136,192496
F,17,Sample X137,103791
F,18,Sample X138,31433
F,19,Sample X139,31449
F,20,Sample X140,31242
F,21,Sample X141,194825
F,22,Sample X142,195512
F,23,Sample X143,69830
F,24,Sample X144,55074
G,1,Sample X145,201292
G,2,Sample X146,206612
G,3,Sample X147,204504
G,4,Sample X148,204090
G,5,Sample X149,201994
G,6,Sample X150,203000
G,7,Sample X151,203260
G,8,Sample X152,195780
G,9,Sample X153,204144
G,10,Sample X154,202856
G,11,Sample X155,194283
G,12,Sample X156,195970
G,13,Sample X157,220904
G,14,Sample X158,189888
G,15,Sample X159,191134
G,16,Sample X160,190686
G,17,Sample X161,191589
G,18,Sample X162,191512
G,19,Sample X163,190494
G,20,Sample X164,188504
G,21,Sample X165,192892
G,22,Sample X166,193429
G,23,Sample X167,26192
G,24,Sample X168,26192
H,1,Sample X169,200055
H,2,Sample X170,204898
H,3,Sample X171,203296
H,4,Sample X172,139898
H,5,Sample X173,201267
H,6,Sample X174,198960
H,7,Sample X175,196421
H,8,Sample X176,196046
H,9,Sample X177,202029
H,10,Sample X178,201952
H,11,Sample X179,190211
H,12,Sample X180,191372
H,13,Sample X181,187951
H,14,Sample X182,36790
H,15,Sample X183,188796
H,16,Sample X184,187200
H,17,Sample X185,187957
H,18,Sample X186,189383
H,19,Sample X187,188838
H,20,Sample X188,30748
H,21,Sample X189,191343
H,22,Sample X190,193328
H,23,Sample X191,26471
H,24,Sample X192,26235
I,1,Sample X193,196140
I,2,Sample X194,198234
I,3,Sample X195,204015
I,4,Sample X196,201561
I,5,Sample X197,198495
I,6,Sample X198,196986
I,7,Sample X199,196497
I,8,Sample X200,193554
I,9,Sample X201,192778
I,10,Sample X202,190648
I,11,Sample X203,191675
I,12,Sample X204,189526
I,13,Sample X205,185916
I,14,Sample X206,184669
I,15,Sample X207,185965
I,16,Sample X208,189601
I,17,Sample X209,188853
I,18,Sample X210,189180
I,19,Sample X211,188224
I,20,Sample X212,191205
I,21,Sample X213,199277
I,22,Sample X214,199760
I,23,Sample X215,26214
I,24,Sample X216,26190
J,1,Sample X217,197158
J,2,Sample X218,201493
J,3,Sample X219,203662
J,4,Sample X220,32594
J,5,Sample X221,198247
J,6,Sample X222,197606
J,7,Sample X223,196554
J,8,Sample X224,194122
J,9,Sample X225,192655
J,10,Sample X226,60385
J,11,Sample X227,188236
J,12,Sample X228,189560
J,13,Sample X229,176844
J,14,Sample X230,193185
J,15,Sample X231,188199
J,16,Sample X232,191372
J,17,Sample X233,199424
J,18,Sample X234,193453
J,19,Sample X235,189788
J,20,Sample X236,192068
J,21,Sample X237,200669
J,22,Sample X238,207195
J,23,Sample X239,25830
J,24,Sample X240,26067
K,1,Sample X241,195297
K,2,Sample X242,200474
K,3,Sample X243,207373
K,4,Sample X244,206602
K,5,Sample X245,183992
K,6,Sample X246,198480
K,7,Sample X247,195440
K,8,Sample X248,193493
K,9,Sample X249,193772
K,10,Sample X250,192661
K,11,Sample X251,187654
K,12,Sample X252,188946
K,13,Sample X253,187941
K,14,Sample X254,188193
K,15,Sample X255,193957
K,16,Sample X256,192404
K,17,Sample X257,193270
K,18,Sample X258,193196
K,19,Sample X259,189587
