User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12207,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:57:59,
ID1: Nalm6wt_AxB-FDA-B-03_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,212154
A,2,Sample X2,211793
A,3,Sample X3,209648
A,4,Sample X4,203331
A,5,Sample X5,204363
A,6,Sample X6,168106
A,7,Sample X7,203281
A,8,Sample X8,159471
A,9,Sample X9,209074
A,10,Sample X10,208214
A,11,Sample X11,207767
A,12,Sample X12,28642
A,13,Sample X13,101774
A,14,Sample X14,212388
A,15,Sample X15,30841
A,16,Sample X16,208265
A,17,Sample X17,146098
A,18,Sample X18,208655
A,19,Sample X19,210307
A,20,Sample X20,211062
A,21,Sample X21,199714
A,22,Sample X22,209289
A,23,Sample X23,207451
A,24,Sample X24,207366
B,1,Sample X25,210230
B,2,Sample X26,210548
B,3,Sample X27,215652
B,4,Sample X28,212042
B,5,Sample X29,190152
B,6,Sample X30,183639
B,7,Sample X31,186030
B,8,Sample X32,159470
B,9,Sample X33,209827
B,10,Sample X34,210754
B,11,Sample X35,28509
B,12,Sample X36,28884
B,13,Sample X37,214934
B,14,Sample X38,213865
B,15,Sample X39,139097
B,16,Sample X40,205802
B,17,Sample X41,208970
B,18,Sample X42,213251
B,19,Sample X43,214002
B,20,Sample X44,213638
B,21,Sample X45,214152
B,22,Sample X46,216034
B,23,Sample X47,213249
B,24,Sample X48,206112
C,1,Sample X49,209293
C,2,Sample X50,215191
C,3,Sample X51,213333
C,4,Sample X52,214868
C,5,Sample X53,214407
C,6,Sample X54,211820
C,7,Sample X55,175560
C,8,Sample X56,203428
C,9,Sample X57,204086
C,10,Sample X58,206760
C,11,Sample X59,33624
C,12,Sample X60,63419
C,13,Sample X61,202838
C,14,Sample X62,203888
C,15,Sample X63,30633
C,16,Sample X64,32184
C,17,Sample X65,30805
C,18,Sample X66,31249
C,19,Sample X67,207064
C,20,Sample X68,209334
C,21,Sample X69,208975
C,22,Sample X70,209976
C,23,Sample X71,208480
C,24,Sample X72,200958
D,1,Sample X73,210833
D,2,Sample X74,214242
D,3,Sample X75,209385
D,4,Sample X76,195530
D,5,Sample X77,212919
D,6,Sample X78,208667
D,7,Sample X79,204321
D,8,Sample X80,202695
D,9,Sample X81,204122
D,10,Sample X82,204350
D,11,Sample X83,36348
D,12,Sample X84,29830
D,13,Sample X85,200176
D,14,Sample X86,201096
D,15,Sample X87,32250
D,16,Sample X88,201271
D,17,Sample X89,31513
D,18,Sample X90,55241
D,19,Sample X91,205332
D,20,Sample X92,207964
D,21,Sample X93,207787
D,22,Sample X94,209018
D,23,Sample X95,47611
D,24,Sample X96,98014
E,1,Sample X97,31004
E,2,Sample X98,27770
E,3,Sample X99,28665
E,4,Sample X100,216200
E,5,Sample X101,205747
E,6,Sample X102,204126
E,7,Sample X103,200373
E,8,Sample X104,192024
E,9,Sample X105,175115
E,10,Sample X106,204721
E,11,Sample X107,208196
E,12,Sample X108,208116
E,13,Sample X109,45566
E,14,Sample X110,194865
E,15,Sample X111,196283
E,16,Sample X112,198186
E,17,Sample X113,199147
E,18,Sample X114,200432
E,19,Sample X115,200249
E,20,Sample X116,201165
E,21,Sample X117,201110
E,22,Sample X118,203378
E,23,Sample X119,39844
E,24,Sample X120,36588
F,1,Sample X121,28763
F,2,Sample X122,38152
F,3,Sample X123,30065
F,4,Sample X124,208656
F,5,Sample X125,28887
F,6,Sample X126,133946
F,7,Sample X127,200432
F,8,Sample X128,197259
F,9,Sample X129,201136
F,10,Sample X130,202717
F,11,Sample X131,207298
F,12,Sample X132,207277
F,13,Sample X133,196692
F,14,Sample X134,199169
F,15,Sample X135,196231
F,16,Sample X136,200206
F,17,Sample X137,199189
F,18,Sample X138,202714
F,19,Sample X139,200320
F,20,Sample X140,201298
F,21,Sample X141,201202
F,22,Sample X142,202532
F,23,Sample X143,37833
F,24,Sample X144,40046
G,1,Sample X145,203620
G,2,Sample X146,206546
G,3,Sample X147,131268
G,4,Sample X148,202242
G,5,Sample X149,200338
G,6,Sample X150,199570
G,7,Sample X151,196331
G,8,Sample X152,195883
G,9,Sample X153,205708
G,10,Sample X154,204252
G,11,Sample X155,195201
G,12,Sample X156,190945
G,13,Sample X157,215185
G,14,Sample X158,191804
G,15,Sample X159,29488
G,16,Sample X160,195285
G,17,Sample X161,195323
G,18,Sample X162,197573
G,19,Sample X163,194671
G,20,Sample X164,196269
G,21,Sample X165,197974
G,22,Sample X166,199845
G,23,Sample X167,27771
G,24,Sample X168,27804
H,1,Sample X169,206154
H,2,Sample X170,204194
H,3,Sample X171,204466
H,4,Sample X172,203592
H,5,Sample X173,201921
H,6,Sample X174,198328
H,7,Sample X175,196424
H,8,Sample X176,197673
H,9,Sample X177,205252
H,10,Sample X178,209271
H,11,Sample X179,195845
H,12,Sample X180,197852
H,13,Sample X181,193874
