User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12209,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:04:03,
ID1: Nalm6wt_AxB-FDA-C-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,213854
A,2,Sample X2,216528
A,3,Sample X3,216332
A,4,Sample X4,217113
A,5,Sample X5,210046
A,6,Sample X6,209183
A,7,Sample X7,208569
A,8,Sample X8,29495
A,9,Sample X9,216627
A,10,Sample X10,219883
A,11,Sample X11,218892
A,12,Sample X12,241638
A,13,Sample X13,227414
A,14,Sample X14,223999
A,15,Sample X15,214664
A,16,Sample X16,217337
A,17,Sample X17,214397
A,18,Sample X18,216377
A,19,Sample X19,219634
A,20,Sample X20,217243
A,21,Sample X21,215351
A,22,Sample X22,216476
A,23,Sample X23,219666
A,24,Sample X24,210675
B,1,Sample X25,211402
B,2,Sample X26,218156
B,3,Sample X27,218969
B,4,Sample X28,216148
B,5,Sample X29,210891
B,6,Sample X30,210362
B,7,Sample X31,209240
B,8,Sample X32,167031
B,9,Sample X33,218000
B,10,Sample X34,219360
B,11,Sample X35,218970
B,12,Sample X36,221470
B,13,Sample X37,224341
B,14,Sample X38,224811
B,15,Sample X39,219405
B,16,Sample X40,218806
B,17,Sample X41,215287
B,18,Sample X42,219390
B,19,Sample X43,219896
B,20,Sample X44,218435
B,21,Sample X45,216975
B,22,Sample X46,215970
B,23,Sample X47,215231
B,24,Sample X48,207099
C,1,Sample X49,211270
C,2,Sample X50,217036
C,3,Sample X51,216131
C,4,Sample X52,215938
C,5,Sample X53,218616
C,6,Sample X54,216725
C,7,Sample X55,212203
C,8,Sample X56,29091
C,9,Sample X57,213668
C,10,Sample X58,215981
C,11,Sample X59,216034
C,12,Sample X60,217746
C,13,Sample X61,216626
C,14,Sample X62,216474
C,15,Sample X63,217476
C,16,Sample X64,217305
C,17,Sample X65,214335
C,18,Sample X66,217914
C,19,Sample X67,142488
C,20,Sample X68,141454
C,21,Sample X69,213422
C,22,Sample X70,213270
C,23,Sample X71,211573
C,24,Sample X72,203189
D,1,Sample X73,210428
D,2,Sample X74,58757
D,3,Sample X75,213853
D,4,Sample X76,211630
D,5,Sample X77,216443
D,6,Sample X78,211124
D,7,Sample X79,30476
D,8,Sample X80,208463
D,9,Sample X81,209944
D,10,Sample X82,209503
D,11,Sample X83,210323
D,12,Sample X84,211233
D,13,Sample X85,211148
D,14,Sample X86,210154
D,15,Sample X87,209690
D,16,Sample X88,209673
D,17,Sample X89,209114
D,18,Sample X90,209204
D,19,Sample X91,133079
D,20,Sample X92,133240
D,21,Sample X93,208784
D,22,Sample X94,206936
D,23,Sample X95,48424
D,24,Sample X96,102578
E,1,Sample X97,213093
