User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12204,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:47:21,
ID1: Nalm6wt_AxB-FDA-A-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,217075
A,2,Sample X2,216113
A,3,Sample X3,218618
A,4,Sample X4,216726
A,5,Sample X5,215391
A,6,Sample X6,220159
A,7,Sample X7,205468
A,8,Sample X8,216655
A,9,Sample X9,211757
A,10,Sample X10,214950
A,11,Sample X11,216334
A,12,Sample X12,217133
A,13,Sample X13,220124
A,14,Sample X14,216424
A,15,Sample X15,214465
A,16,Sample X16,212564
A,17,Sample X17,211662
A,18,Sample X18,214446
A,19,Sample X19,213656
A,20,Sample X20,214212
A,21,Sample X21,212468
A,22,Sample X22,214275
A,23,Sample X23,212786
A,24,Sample X24,211196
B,1,Sample X25,212576
B,2,Sample X26,213954
B,3,Sample X27,133651
B,4,Sample X28,212959
B,5,Sample X29,216003
B,6,Sample X30,215098
B,7,Sample X31,212608
B,8,Sample X32,213103
B,9,Sample X33,215393
B,10,Sample X34,216418
B,11,Sample X35,216860
B,12,Sample X36,215386
B,13,Sample X37,214673
B,14,Sample X38,235740
B,15,Sample X39,215242
B,16,Sample X40,212973
B,17,Sample X41,213334
B,18,Sample X42,214965
B,19,Sample X43,215422
B,20,Sample X44,214732
B,21,Sample X45,214274
B,22,Sample X46,215605
B,23,Sample X47,213885
B,24,Sample X48,207663
C,1,Sample X49,211162
C,2,Sample X50,219011
C,3,Sample X51,217128
C,4,Sample X52,213513
C,5,Sample X53,213913
C,6,Sample X54,25643
C,7,Sample X55,28420
C,8,Sample X56,27865
C,9,Sample X57,29024
C,10,Sample X58,211274
C,11,Sample X59,28764
C,12,Sample X60,213215
C,13,Sample X61,212482
C,14,Sample X62,213304
C,15,Sample X63,213452
C,16,Sample X64,212113
C,17,Sample X65,209834
C,18,Sample X66,212015
C,19,Sample X67,214085
C,20,Sample X68,213710
C,21,Sample X69,213024
C,22,Sample X70,212456
C,23,Sample X71,212918
C,24,Sample X72,206534
D,1,Sample X73,215206
D,2,Sample X74,217023
D,3,Sample X75,223713
D,4,Sample X76,214300
D,5,Sample X77,197627
D,6,Sample X78,216803
D,7,Sample X79,134337
D,8,Sample X80,206012
D,9,Sample X81,207619
D,10,Sample X82,207823
D,11,Sample X83,207346
D,12,Sample X84,206324
D,13,Sample X85,206450
D,14,Sample X86,204956
D,15,Sample X87,205924
D,16,Sample X88,205243
D,17,Sample X89,205278
D,18,Sample X90,207402
D,19,Sample X91,206657
D,20,Sample X92,208226
D,21,Sample X93,209145
D,22,Sample X94,28398
D,23,Sample X95,56326
D,24,Sample X96,50626
E,1,Sample X97,211684
E,2,Sample X98,217882
E,3,Sample X99,214760
E,4,Sample X100,210594
E,5,Sample X101,30162
E,6,Sample X102,32716
E,7,Sample X103,207885
E,8,Sample X104,207774
E,9,Sample X105,31616
E,10,Sample X106,204751
E,11,Sample X107,194035
E,12,Sample X108,215047
