User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12201,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:35:07,
ID1: Nalm6wt_AxB-FDA-A-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
J,19,Sample X235,188980
J,20,Sample X236,192355
J,21,Sample X237,165866
J,22,Sample X238,22516
J,23,Sample X239,27027
J,24,Sample X240,26427
K,1,Sample X241,29252
K,2,Sample X242,29667
K,3,Sample X243,202935
K,4,Sample X244,146871
K,5,Sample X245,203892
K,6,Sample X246,190121
K,7,Sample X247,194978
K,8,Sample X248,194303
K,9,Sample X249,194330
K,10,Sample X250,197605
K,11,Sample X251,185012
K,12,Sample X252,188196
K,13,Sample X253,187082
K,14,Sample X254,188992
K,15,Sample X255,196930
K,16,Sample X256,195990
K,17,Sample X257,36610
K,18,Sample X258,199258
K,19,Sample X259,191293
K,20,Sample X260,192263
K,21,Sample X261,28773
K,22,Sample X262,193946
K,23,Sample X263,26582
K,24,Sample X264,26874
L,1,Sample X265,215654
L,2,Sample X266,198856
L,3,Sample X267,200144
L,4,Sample X268,198931
L,5,Sample X269,190642
L,6,Sample X270,192463
L,7,Sample X271,192584
L,8,Sample X272,194194
L,9,Sample X273,192952
L,10,Sample X274,194625
L,11,Sample X275,187594
L,12,Sample X276,190254
L,13,Sample X277,185942
L,14,Sample X278,183405
L,15,Sample X279,195200
L,16,Sample X280,194818
L,17,Sample X281,32882
L,18,Sample X282,64831
L,19,Sample X283,191864
L,20,Sample X284,195267
L,21,Sample X285,194115
L,22,Sample X286,196114
L,23,Sample X287,28516
L,24,Sample X288,27721
M,1,Sample X289,192145
M,2,Sample X290,197764
M,3,Sample X291,193358
M,4,Sample X292,194056
M,5,Sample X293,197165
M,6,Sample X294,185009
M,7,Sample X295,183520
M,8,Sample X296,172602
M,9,Sample X297,187878
M,10,Sample X298,30060
M,11,Sample X299,32949
M,12,Sample X300,99642
M,13,Sample X301,201984
M,14,Sample X302,199950
M,15,Sample X303,190784
M,16,Sample X304,194563
M,17,Sample X305,27835
M,18,Sample X306,29680
M,19,Sample X307,191281
M,20,Sample X308,193898
M,21,Sample X309,193692
M,22,Sample X310,195616
M,23,Sample X311,30814
M,24,Sample X312,28686
N,1,Sample X313,197754
N,2,Sample X314,201081
N,3,Sample X315,194873
N,4,Sample X316,196442
N,5,Sample X317,194838
N,6,Sample X318,195530
N,7,Sample X319,28157
N,8,Sample X320,27477
N,9,Sample X321,28836
N,10,Sample X322,197268
N,11,Sample X323,196173
N,12,Sample X324,201789
N,13,Sample X325,203813
N,14,Sample X326,202054
N,15,Sample X327,27874
N,16,Sample X328,193776
N,17,Sample X329,193464
N,18,Sample X330,196128
N,19,Sample X331,27694
N,20,Sample X332,196960
N,21,Sample X333,198037
N,22,Sample X334,200490
N,23,Sample X335,197987
N,24,Sample X336,193836
O,1,Sample X337,197295
O,2,Sample X338,199170
O,3,Sample X339,28906
O,4,Sample X340,143926
O,5,Sample X341,192634
O,6,Sample X342,195694
O,7,Sample X343,30267
O,8,Sample X344,31080
O,9,Sample X345,63645
O,10,Sample X346,198809
O,11,Sample X347,190120
O,12,Sample X348,199709
O,13,Sample X349,199492
O,14,Sample X350,213298
O,15,Sample X351,199059
O,16,Sample X352,201352
O,17,Sample X353,197400
O,18,Sample X354,199015
O,19,Sample X355,200368
O,20,Sample X356,201400
O,21,Sample X357,200385
O,22,Sample X358,203762
O,23,Sample X359,199447
O,24,Sample X360,198651
