User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12217,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:28:03,
ID1: Nalm6wt_AxB-FDA-E-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,206778
A,2,Sample X2,204940
A,3,Sample X3,202451
A,4,Sample X4,203645
A,5,Sample X5,203590
A,6,Sample X6,202023
A,7,Sample X7,203172
A,8,Sample X8,202020
A,9,Sample X9,203776
A,10,Sample X10,203078
A,11,Sample X11,207179
A,12,Sample X12,205760
A,13,Sample X13,210139
A,14,Sample X14,208099
A,15,Sample X15,202126
A,16,Sample X16,202839
A,17,Sample X17,201133
A,18,Sample X18,203751
A,19,Sample X19,204383
A,20,Sample X20,203400
A,21,Sample X21,200301
A,22,Sample X22,202291
A,23,Sample X23,199541
A,24,Sample X24,202420
B,1,Sample X25,204436
B,2,Sample X26,208068
B,3,Sample X27,207614
B,4,Sample X28,205146
B,5,Sample X29,206072
B,6,Sample X30,204919
B,7,Sample X31,206156
B,8,Sample X32,203957
B,9,Sample X33,206467
B,10,Sample X34,207268
B,11,Sample X35,206978
B,12,Sample X36,207685
B,13,Sample X37,208942
B,14,Sample X38,214754
B,15,Sample X39,207889
B,16,Sample X40,206628
B,17,Sample X41,203934
B,18,Sample X42,207650
B,19,Sample X43,207644
B,20,Sample X44,209682
B,21,Sample X45,206105
B,22,Sample X46,206723
B,23,Sample X47,204928
B,24,Sample X48,198214
C,1,Sample X49,198536
C,2,Sample X50,204850
C,3,Sample X51,202847
C,4,Sample X52,202748
C,5,Sample X53,202475
C,6,Sample X54,202440
C,7,Sample X55,199587
C,8,Sample X56,199584
C,9,Sample X57,200310
C,10,Sample X58,204971
C,11,Sample X59,200292
C,12,Sample X60,202329
C,13,Sample X61,201666
C,14,Sample X62,203803
C,15,Sample X63,201527
C,16,Sample X64,202680
C,17,Sample X65,198911
C,18,Sample X66,204158
C,19,Sample X67,200510
C,20,Sample X68,203579
C,21,Sample X69,203722
C,22,Sample X70,205132
C,23,Sample X71,201295
C,24,Sample X72,197383
D,1,Sample X73,197495
D,2,Sample X74,201202
D,3,Sample X75,201706
D,4,Sample X76,198508
D,5,Sample X77,201132
D,6,Sample X78,198343
D,7,Sample X79,198234
D,8,Sample X80,197115
D,9,Sample X81,198726
D,10,Sample X82,201870
D,11,Sample X83,184415
D,12,Sample X84,200662
D,13,Sample X85,200026
D,14,Sample X86,198494
D,15,Sample X87,197725
D,16,Sample X88,196689
D,17,Sample X89,201304
D,18,Sample X90,200253
D,19,Sample X91,201128
D,20,Sample X92,200898
D,21,Sample X93,200636
D,22,Sample X94,198897
D,23,Sample X95,32483
D,24,Sample X96,44322
E,1,Sample X97,192296
E,2,Sample X98,28209
E,3,Sample X99,197706
E,4,Sample X100,194938
E,5,Sample X101,194171
E,6,Sample X102,195473
E,7,Sample X103,196503
E,8,Sample X104,196314
E,9,Sample X105,202299
E,10,Sample X106,200831
E,11,Sample X107,208963
E,12,Sample X108,205414
E,13,Sample X109,187080
E,14,Sample X110,197229
E,15,Sample X111,195459
E,16,Sample X112,198120
E,17,Sample X113,196491
E,18,Sample X114,199707
E,19,Sample X115,197344
E,20,Sample X116,199850
E,21,Sample X117,197030
E,22,Sample X118,199014
E,23,Sample X119,66230
E,24,Sample X120,38736
F,1,Sample X121,193941
F,2,Sample X122,39144
F,3,Sample X123,194859
F,4,Sample X124,194180
F,5,Sample X125,195809
F,6,Sample X126,194358
F,7,Sample X127,195978
F,8,Sample X128,195078
F,9,Sample X129,198581
F,10,Sample X130,200576
F,11,Sample X131,199882
F,12,Sample X132,30288
F,13,Sample X133,196173
F,14,Sample X134,195080
F,15,Sample X135,197783
F,16,Sample X136,199662
F,17,Sample X137,205152
F,18,Sample X138,215034
F,19,Sample X139,199388
F,20,Sample X140,198246
F,21,Sample X141,198536
F,22,Sample X142,197352
F,23,Sample X143,47524
F,24,Sample X144,45478
G,1,Sample X145,193424
G,2,Sample X146,198408
G,3,Sample X147,192655
G,4,Sample X148,193561
G,5,Sample X149,193243
G,6,Sample X150,193358
G,7,Sample X151,193846
G,8,Sample X152,194834
G,9,Sample X153,202619
G,10,Sample X154,88287
G,11,Sample X155,193361
G,12,Sample X156,196418
G,13,Sample X157,190494
G,14,Sample X158,212340
G,15,Sample X159,196323
G,16,Sample X160,198194
G,17,Sample X161,203194
G,18,Sample X162,210989
G,19,Sample X163,199611
G,20,Sample X164,196939
G,21,Sample X165,195847
G,22,Sample X166,197716
G,23,Sample X167,27644
G,24,Sample X168,27568
H,1,Sample X169,193461
H,2,Sample X170,197721
H,3,Sample X171,194572
H,4,Sample X172,192912
H,5,Sample X173,191912
H,6,Sample X174,192814
H,7,Sample X175,193573
H,8,Sample X176,194048
H,9,Sample X177,197556
H,10,Sample X178,197281
H,11,Sample X179,194347
H,12,Sample X180,195390
H,13,Sample X181,193364
H,14,Sample X182,194534
H,15,Sample X183,194710
H,16,Sample X184,196786
H,17,Sample X185,212275
H,18,Sample X186,216910
H,19,Sample X187,214178
H,20,Sample X188,194884
H,21,Sample X189,197504
H,22,Sample X190,194310
H,23,Sample X191,27328
H,24,Sample X192,27332
I,1,Sample X193,188765
I,2,Sample X194,197094
I,3,Sample X195,197202
I,4,Sample X196,197214
I,5,Sample X197,190016
I,6,Sample X198,192066
I,7,Sample X199,191748
I,8,Sample X200,193451
I,9,Sample X201,194182
I,10,Sample X202,193202
I,11,Sample X203,193616
I,12,Sample X204,195322
I,13,Sample X205,182290
I,14,Sample X206,188112
I,15,Sample X207,193742
I,16,Sample X208,197501
I,17,Sample X209,195484
I,18,Sample X210,209906
I,19,Sample X211,205324
I,20,Sample X212,194480
I,21,Sample X213,201672
I,22,Sample X214,196378
I,23,Sample X215,28249
I,24,Sample X216,27858
J,1,Sample X217,192424
J,2,Sample X218,193908
J,3,Sample X219,196329
J,4,Sample X220,194131
J,5,Sample X221,191868
J,6,Sample X222,192642
J,7,Sample X223,193421
J,8,Sample X224,195184
J,9,Sample X225,196299
J,10,Sample X226,195294
J,11,Sample X227,196753
J,12,Sample X228,193178
J,13,Sample X229,177945
J,14,Sample X230,233120
J,15,Sample X231,195634
J,16,Sample X232,194050
J,17,Sample X233,195757
J,18,Sample X234,195936
J,19,Sample X235,195760
J,20,Sample X236,194498
J,21,Sample X237,194212
J,22,Sample X238,196442
J,23,Sample X239,27003
J,24,Sample X240,27328
K,1,Sample X241,188469
K,2,Sample X242,196712
K,3,Sample X243,197004
K,4,Sample X244,195362
K,5,Sample X245,191442
K,6,Sample X246,188808
K,7,Sample X247,193340
K,8,Sample X248,194589
K,9,Sample X249,195375
K,10,Sample X250,195663
K,11,Sample X251,191993
K,12,Sample X252,192159
K,13,Sample X253,193377
K,14,Sample X254,194647
K,15,Sample X255,196397
K,16,Sample X256,198234
K,17,Sample X257,198510
K,18,Sample X258,198377
K,19,Sample X259,162565
K,20,Sample X260,198676
K,21,Sample X261,198477
K,22,Sample X262,197078
K,23,Sample X263,28210
K,24,Sample X264,28177
L,1,Sample X265,191900
L,2,Sample X266,196035
L,3,Sample X267,199589
L,4,Sample X268,197044
L,5,Sample X269,195143
L,6,Sample X270,194542
L,7,Sample X271,194419
L,8,Sample X272,193938
L,9,Sample X273,196380
L,10,Sample X274,194088
L,11,Sample X275,196025
L,12,Sample X276,194078
L,13,Sample X277,196036
L,14,Sample X278,196157
L,15,Sample X279,196459
L,16,Sample X280,196596
L,17,Sample X281,197731
L,18,Sample X282,196893
L,19,Sample X283,199089
L,20,Sample X284,195868
L,21,Sample X285,199051
L,22,Sample X286,198622
L,23,Sample X287,187537
L,24,Sample X288,54346
M,1,Sample X289,191291
M,2,Sample X290,198232
M,3,Sample X291,195196
M,4,Sample X292,200183
M,5,Sample X293,192903
M,6,Sample X294,196585
M,7,Sample X295,190052
M,8,Sample X296,190500
M,9,Sample X297,194571
M,10,Sample X298,196679
M,11,Sample X299,200946
M,12,Sample X300,200468
M,13,Sample X301,200970
M,14,Sample X302,199638
M,15,Sample X303,28328
M,16,Sample X304,192947
M,17,Sample X305,194866
M,18,Sample X306,199274
M,19,Sample X307,199300
M,20,Sample X308,198448
M,21,Sample X309,198228
M,22,Sample X310,199520
M,23,Sample X311,136751
M,24,Sample X312,192245
N,1,Sample X313,193941
N,2,Sample X314,197096
N,3,Sample X315,196859
N,4,Sample X316,195562
N,5,Sample X317,196884
N,6,Sample X318,195373
N,7,Sample X319,191183
N,8,Sample X320,193207
N,9,Sample X321,196059
N,10,Sample X322,196287
N,11,Sample X323,199678
N,12,Sample X324,199065
N,13,Sample X325,201164
N,14,Sample X326,201721
N,15,Sample X327,195727
N,16,Sample X328,196899
N,17,Sample X329,195206
N,18,Sample X330,199104
N,19,Sample X331,199650
N,20,Sample X332,199498
N,21,Sample X333,199202
N,22,Sample X334,197241
N,23,Sample X335,199271
N,24,Sample X336,193080
O,1,Sample X337,159777
O,2,Sample X338,196192
O,3,Sample X339,196359
O,4,Sample X340,195454
O,5,Sample X341,195634
O,6,Sample X342,196190
O,7,Sample X343,194380
O,8,Sample X344,195144
O,9,Sample X345,197230
O,10,Sample X346,197804
O,11,Sample X347,198996
O,12,Sample X348,199682
O,13,Sample X349,199265
O,14,Sample X350,198004
O,15,Sample X351,63980
O,16,Sample X352,198722
O,17,Sample X353,197450
O,18,Sample X354,199705
O,19,Sample X355,200919
O,20,Sample X356,201966
O,21,Sample X357,200428
O,22,Sample X358,200842
O,23,Sample X359,197204
O,24,Sample X360,197130
P,1,Sample X361,197908
P,2,Sample X362,193276
P,3,Sample X363,193269
P,4,Sample X364,191210
P,5,Sample X365,193267
P,6,Sample X366,192138
P,7,Sample X367,192308
P,8,Sample X368,191776
P,9,Sample X369,194378
P,10,Sample X370,193586
P,11,Sample X371,195439
P,12,Sample X372,195073
P,13,Sample X373,194903
P,14,Sample X374,193763
P,15,Sample X375,193586
P,16,Sample X376,193978
P,17,Sample X377,194718
P,18,Sample X378,194372
P,19,Sample X379,199002
P,20,Sample X380,196642
P,21,Sample X381,196146
P,22,Sample X382,195380
P,23,Sample X383,198125
P,24,Sample X384,202514
