User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12224,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:48:58,
ID1: Nalm6wt_AxB-FDA-F-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,211353
A,2,Sample X2,210944
A,3,Sample X3,209318
A,4,Sample X4,209558
A,5,Sample X5,195587
A,6,Sample X6,196966
A,7,Sample X7,189728
A,8,Sample X8,193060
A,9,Sample X9,209884
A,10,Sample X10,209774
A,11,Sample X11,205823
A,12,Sample X12,205944
A,13,Sample X13,212706
A,14,Sample X14,208132
A,15,Sample X15,188130
A,16,Sample X16,201624
A,17,Sample X17,199645
A,18,Sample X18,204200
A,19,Sample X19,202131
A,20,Sample X20,205100
A,21,Sample X21,203228
A,22,Sample X22,201577
A,23,Sample X23,201166
A,24,Sample X24,205958
B,1,Sample X25,209839
B,2,Sample X26,203504
B,3,Sample X27,208174
B,4,Sample X28,204828
B,5,Sample X29,204730
B,6,Sample X30,199960
B,7,Sample X31,196298
B,8,Sample X32,184274
B,9,Sample X33,206994
B,10,Sample X34,207854
B,11,Sample X35,207366
B,12,Sample X36,196636
B,13,Sample X37,203105
B,14,Sample X38,165790
B,15,Sample X39,205366
B,16,Sample X40,203514
B,17,Sample X41,202648
B,18,Sample X42,204550
B,19,Sample X43,205916
B,20,Sample X44,206374
B,21,Sample X45,205563
B,22,Sample X46,202072
B,23,Sample X47,205116
B,24,Sample X48,201896
C,1,Sample X49,209211
C,2,Sample X50,207122
C,3,Sample X51,207313
C,4,Sample X52,208316
C,5,Sample X53,201137
C,6,Sample X54,199946
C,7,Sample X55,198378
C,8,Sample X56,196566
C,9,Sample X57,200036
C,10,Sample X58,203372
C,11,Sample X59,205982
C,12,Sample X60,205676
C,13,Sample X61,200447
C,14,Sample X62,201201
C,15,Sample X63,197436
C,16,Sample X64,201086
C,17,Sample X65,203279
C,18,Sample X66,202766
C,19,Sample X67,200504
C,20,Sample X68,199649
C,21,Sample X69,203340
C,22,Sample X70,205627
C,23,Sample X71,204391
C,24,Sample X72,203677
D,1,Sample X73,207484
D,2,Sample X74,203700
D,3,Sample X75,205855
D,4,Sample X76,203809
D,5,Sample X77,200212
D,6,Sample X78,178520
D,7,Sample X79,201762
D,8,Sample X80,196501
D,9,Sample X81,201072
D,10,Sample X82,199038
D,11,Sample X83,201961
D,12,Sample X84,199372
D,13,Sample X85,201934
D,14,Sample X86,197167
