User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12224,
D,15,Sample X87,195017
D,16,Sample X88,196318
D,17,Sample X89,199164
D,18,Sample X90,197817
D,19,Sample X91,200231
D,20,Sample X92,194180
D,21,Sample X93,200600
D,22,Sample X94,200521
D,23,Sample X95,39255
D,24,Sample X96,34358
E,1,Sample X97,206800
E,2,Sample X98,206769
E,3,Sample X99,205538
E,4,Sample X100,202268
E,5,Sample X101,196521
E,6,Sample X102,200315
E,7,Sample X103,196972
E,8,Sample X104,199664
E,9,Sample X105,199347
E,10,Sample X106,199817
E,11,Sample X107,197629
E,12,Sample X108,193387
E,13,Sample X109,199175
E,14,Sample X110,198140
E,15,Sample X111,198452
E,16,Sample X112,197270
E,17,Sample X113,192734
E,18,Sample X114,197639
E,19,Sample X115,194909
E,20,Sample X116,194888
E,21,Sample X117,192666
E,22,Sample X118,194523
E,23,Sample X119,39124
E,24,Sample X120,36924
F,1,Sample X121,206475
F,2,Sample X122,202402
F,3,Sample X123,178512
F,4,Sample X124,198432
F,5,Sample X125,201211
F,6,Sample X126,199407
F,7,Sample X127,200936
F,8,Sample X128,196053
F,9,Sample X129,198037
F,10,Sample X130,187055
F,11,Sample X131,167994
F,12,Sample X132,195105
F,13,Sample X133,198691
F,14,Sample X134,195242
F,15,Sample X135,196849
F,16,Sample X136,190938
F,17,Sample X137,195975
F,18,Sample X138,192486
F,19,Sample X139,195475
F,20,Sample X140,194265
F,21,Sample X141,196534
F,22,Sample X142,192866
F,23,Sample X143,42032
F,24,Sample X144,35302
G,1,Sample X145,207792
G,2,Sample X146,204891
G,3,Sample X147,197079
G,4,Sample X148,199196
G,5,Sample X149,195815
G,6,Sample X150,199224
G,7,Sample X151,183570
G,8,Sample X152,188390
G,9,Sample X153,179041
G,10,Sample X154,189155
G,11,Sample X155,184896
G,12,Sample X156,199719
G,13,Sample X157,196543
G,14,Sample X158,195448
G,15,Sample X159,197421
G,16,Sample X160,197406
G,17,Sample X161,197910
G,18,Sample X162,194521
G,19,Sample X163,194662
G,20,Sample X164,195338
G,21,Sample X165,191290
G,22,Sample X166,195678
G,23,Sample X167,27032
G,24,Sample X168,27174
H,1,Sample X169,202540
H,2,Sample X170,195141
H,3,Sample X171,202535
H,4,Sample X172,197308
H,5,Sample X173,197875
H,6,Sample X174,196916
H,7,Sample X175,183266
H,8,Sample X176,173803
H,9,Sample X177,181097
H,10,Sample X178,212196
H,11,Sample X179,195752
H,12,Sample X180,196280
H,13,Sample X181,196467
H,14,Sample X182,190897
H,15,Sample X183,193628
H,16,Sample X184,191429
H,17,Sample X185,193981
H,18,Sample X186,193449
H,19,Sample X187,194054
H,20,Sample X188,195692
H,21,Sample X189,195040
H,22,Sample X190,188883
H,23,Sample X191,26972
H,24,Sample X192,27000
I,1,Sample X193,201413
I,2,Sample X194,204556
I,3,Sample X195,200988
I,4,Sample X196,199680
I,5,Sample X197,192891
I,6,Sample X198,196671
I,7,Sample X199,193989
I,8,Sample X200,198036
I,9,Sample X201,168479
I,10,Sample X202,179734
I,11,Sample X203,185538
I,12,Sample X204,188812
I,13,Sample X205,210176
I,14,Sample X206,193447
I,15,Sample X207,195171
I,16,Sample X208,197808
I,17,Sample X209,197533
I,18,Sample X210,196205
I,19,Sample X211,196830
I,20,Sample X212,196448
I,21,Sample X213,182106
I,22,Sample X214,170346
I,23,Sample X215,27223
I,24,Sample X216,27250
J,1,Sample X217,201680
J,2,Sample X218,201400
J,3,Sample X219,200179
J,4,Sample X220,194060
J,5,Sample X221,197624
J,6,Sample X222,195035
J,7,Sample X223,197467
J,8,Sample X224,195450
J,9,Sample X225,182373
J,10,Sample X226,174754
J,11,Sample X227,192238
J,12,Sample X228,192986
J,13,Sample X229,197633
J,14,Sample X230,188787
J,15,Sample X231,198370
J,16,Sample X232,193376
J,17,Sample X233,194043
J,18,Sample X234,232470
J,19,Sample X235,204569
J,20,Sample X236,196029
J,21,Sample X237,214638
J,22,Sample X238,205570
J,23,Sample X239,26887
J,24,Sample X240,26632
K,1,Sample X241,199146
K,2,Sample X242,199214
K,3,Sample X243,199242
K,4,Sample X244,196862
K,5,Sample X245,198884
K,6,Sample X246,196763
K,7,Sample X247,194247
K,8,Sample X248,193116
K,9,Sample X249,179194
K,10,Sample X250,183862
K,11,Sample X251,190919
K,12,Sample X252,197553
K,13,Sample X253,197995
K,14,Sample X254,197808
K,15,Sample X255,195390
K,16,Sample X256,193791
K,17,Sample X257,198640
K,18,Sample X258,201940
K,19,Sample X259,202728
K,20,Sample X260,197406
K,21,Sample X261,197120
K,22,Sample X262,195052
K,23,Sample X263,26632
K,24,Sample X264,26791
L,1,Sample X265,200192
L,2,Sample X266,200344
L,3,Sample X267,194710
L,4,Sample X268,217811
L,5,Sample X269,200153
L,6,Sample X270,193967
L,7,Sample X271,195558
L,8,Sample X272,187162
L,9,Sample X273,192363
L,10,Sample X274,187196
L,11,Sample X275,201235
L,12,Sample X276,193428
L,13,Sample X277,198329
L,14,Sample X278,194745
L,15,Sample X279,193538
L,16,Sample X280,189801
L,17,Sample X281,195455
L,18,Sample X282,184542
L,19,Sample X283,203128
L,20,Sample X284,190740
L,21,Sample X285,199043
L,22,Sample X286,193371
L,23,Sample X287,27819
L,24,Sample X288,27799
M,1,Sample X289,200665
M,2,Sample X290,201522
M,3,Sample X291,201350
M,4,Sample X292,199701
M,5,Sample X293,157361
M,6,Sample X294,202086
M,7,Sample X295,135578
M,8,Sample X296,192732
M,9,Sample X297,192741
M,10,Sample X298,194155
M,11,Sample X299,199360
M,12,Sample X300,201878
M,13,Sample X301,202152
M,14,Sample X302,198999
M,15,Sample X303,157115
M,16,Sample X304,198970
M,17,Sample X305,205822
M,18,Sample X306,205848
M,19,Sample X307,202997
M,20,Sample X308,201769
M,21,Sample X309,199676
M,22,Sample X310,200893
M,23,Sample X311,44351
M,24,Sample X312,138843
N,1,Sample X313,202758
N,2,Sample X314,201374
N,3,Sample X315,201986
N,4,Sample X316,192511
N,5,Sample X317,199364
N,6,Sample X318,199229
N,7,Sample X319,197666
N,8,Sample X320,191429
N,9,Sample X321,197806
N,10,Sample X322,197145
N,11,Sample X323,198729
N,12,Sample X324,187131
N,13,Sample X325,200328
N,14,Sample X326,165962
N,15,Sample X327,198717
N,16,Sample X328,195723
N,17,Sample X329,203726
N,18,Sample X330,202657
N,19,Sample X331,201585
N,20,Sample X332,199575
N,21,Sample X333,200481
N,22,Sample X334,198812
N,23,Sample X335,194278
N,24,Sample X336,194048
O,1,Sample X337,202366
O,2,Sample X338,205260
O,3,Sample X339,200487
O,4,Sample X340,199583
O,5,Sample X341,196121
O,6,Sample X342,200259
O,7,Sample X343,198734
O,8,Sample X344,199358
O,9,Sample X345,203545
O,10,Sample X346,201560
O,11,Sample X347,197451
O,12,Sample X348,201859
O,13,Sample X349,201592
O,14,Sample X350,203970
O,15,Sample X351,198712
O,16,Sample X352,198872
O,17,Sample X353,192427
O,18,Sample X354,199828
O,19,Sample X355,205406
O,20,Sample X356,202320
O,21,Sample X357,195085
O,22,Sample X358,194520
O,23,Sample X359,194550
O,24,Sample X360,196147
P,1,Sample X361,198556
P,2,Sample X362,197312
P,3,Sample X363,198381
P,4,Sample X364,197043
P,5,Sample X365,196494
P,6,Sample X366,191826
P,7,Sample X367,195985
P,8,Sample X368,195310
P,9,Sample X369,197397
P,10,Sample X370,195060
P,11,Sample X371,196172
P,12,Sample X372,196151
P,13,Sample X373,200504
P,14,Sample X374,198098
P,15,Sample X375,196863
P,16,Sample X376,193243
P,17,Sample X377,193025
P,18,Sample X378,194037
P,19,Sample X379,199185
P,20,Sample X380,196185
P,21,Sample X381,196656
P,22,Sample X382,189688
P,23,Sample X383,192682
P,24,Sample X384,192867
