User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12223,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:45:57,
ID1: Nalm6wt_AxB-FDA-F-03_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,211254
A,2,Sample X2,208515
A,3,Sample X3,211850
A,4,Sample X4,209931
A,5,Sample X5,206596
A,6,Sample X6,206358
A,7,Sample X7,206336
A,8,Sample X8,202952
A,9,Sample X9,211303
A,10,Sample X10,213249
A,11,Sample X11,213651
A,12,Sample X12,214331
A,13,Sample X13,225375
A,14,Sample X14,220614
A,15,Sample X15,190243
A,16,Sample X16,212257
A,17,Sample X17,209695
A,18,Sample X18,212608
A,19,Sample X19,213784
A,20,Sample X20,212164
A,21,Sample X21,212237
A,22,Sample X22,211537
A,23,Sample X23,213768
A,24,Sample X24,212745
B,1,Sample X25,210664
B,2,Sample X26,210033
B,3,Sample X27,211148
B,4,Sample X28,212705
B,5,Sample X29,213993
B,6,Sample X30,211342
B,7,Sample X31,208886
B,8,Sample X32,207339
B,9,Sample X33,213354
B,10,Sample X34,217032
B,11,Sample X35,216490
B,12,Sample X36,216988
B,13,Sample X37,220994
B,14,Sample X38,220718
B,15,Sample X39,216045
B,16,Sample X40,215105
B,17,Sample X41,212592
B,18,Sample X42,214747
B,19,Sample X43,217015
B,20,Sample X44,216890
B,21,Sample X45,216824
B,22,Sample X46,216056
B,23,Sample X47,209852
B,24,Sample X48,211341
C,1,Sample X49,208321
C,2,Sample X50,206974
C,3,Sample X51,210420
C,4,Sample X52,209278
C,5,Sample X53,213495
C,6,Sample X54,211511
C,7,Sample X55,208408
C,8,Sample X56,206208
C,9,Sample X57,210513
C,10,Sample X58,211366
C,11,Sample X59,216442
C,12,Sample X60,215803
C,13,Sample X61,209476
C,14,Sample X62,211752
C,15,Sample X63,211270
C,16,Sample X64,209931
C,17,Sample X65,209916
C,18,Sample X66,211818
