User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12223,
C,19,Sample X67,211214
C,20,Sample X68,210539
C,21,Sample X69,212300
C,22,Sample X70,213888
C,23,Sample X71,211778
C,24,Sample X72,206744
D,1,Sample X73,207434
D,2,Sample X74,208830
D,3,Sample X75,209157
D,4,Sample X76,210722
D,5,Sample X77,211503
D,6,Sample X78,211292
D,7,Sample X79,209356
D,8,Sample X80,207713
D,9,Sample X81,208163
D,10,Sample X82,210938
D,11,Sample X83,209176
D,12,Sample X84,211869
D,13,Sample X85,208084
D,14,Sample X86,208218
D,15,Sample X87,209631
D,16,Sample X88,208950
D,17,Sample X89,207430
D,18,Sample X90,210422
D,19,Sample X91,209769
D,20,Sample X92,210190
D,21,Sample X93,211578
D,22,Sample X94,210686
D,23,Sample X95,36760
D,24,Sample X96,35303
E,1,Sample X97,205345
E,2,Sample X98,204760
E,3,Sample X99,214792
E,4,Sample X100,209583
E,5,Sample X101,205483
E,6,Sample X102,206587
E,7,Sample X103,203273
E,8,Sample X104,202382
E,9,Sample X105,206393
E,10,Sample X106,207365
E,11,Sample X107,215124
E,12,Sample X108,212260
E,13,Sample X109,203973
E,14,Sample X110,204485
E,15,Sample X111,203385
E,16,Sample X112,203329
E,17,Sample X113,202632
E,18,Sample X114,203239
E,19,Sample X115,200591
E,20,Sample X116,203335
E,21,Sample X117,205697
E,22,Sample X118,206104
E,23,Sample X119,38113
E,24,Sample X120,36527
F,1,Sample X121,204470
F,2,Sample X122,210082
F,3,Sample X123,214194
F,4,Sample X124,210812
F,5,Sample X125,203908
F,6,Sample X126,203796
F,7,Sample X127,201088
F,8,Sample X128,201806
F,9,Sample X129,204620
F,10,Sample X130,204656
F,11,Sample X131,210023
F,12,Sample X132,210464
F,13,Sample X133,200191
F,14,Sample X134,199244
F,15,Sample X135,199548
F,16,Sample X136,200860
F,17,Sample X137,202264
F,18,Sample X138,203392
F,19,Sample X139,201902
F,20,Sample X140,201557
F,21,Sample X141,204589
F,22,Sample X142,204636
F,23,Sample X143,42400
F,24,Sample X144,36837
G,1,Sample X145,202711
G,2,Sample X146,203513
G,3,Sample X147,204899
G,4,Sample X148,204941
G,5,Sample X149,202142
G,6,Sample X150,200746
G,7,Sample X151,194613
G,8,Sample X152,195487
G,9,Sample X153,199391
G,10,Sample X154,202554
G,11,Sample X155,198032
G,12,Sample X156,197516
G,13,Sample X157,187756
G,14,Sample X158,138790
G,15,Sample X159,198096
G,16,Sample X160,199877
G,17,Sample X161,199897
G,18,Sample X162,199082
G,19,Sample X163,200238
G,20,Sample X164,200617
G,21,Sample X165,203582
G,22,Sample X166,202949
G,23,Sample X167,28291
G,24,Sample X168,28350
H,1,Sample X169,202071
H,2,Sample X170,200367
H,3,Sample X171,203513
H,4,Sample X172,205675
H,5,Sample X173,200402
H,6,Sample X174,199766
H,7,Sample X175,194740
H,8,Sample X176,195030
H,9,Sample X177,202631
H,10,Sample X178,203609
H,11,Sample X179,195391
H,12,Sample X180,197172
H,13,Sample X181,180892
H,14,Sample X182,214858
H,15,Sample X183,195864
H,16,Sample X184,197480
H,17,Sample X185,196590
H,18,Sample X186,198695
H,19,Sample X187,199547
H,20,Sample X188,200742
H,21,Sample X189,200823
H,22,Sample X190,201373
H,23,Sample X191,28000
H,24,Sample X192,28038
I,1,Sample X193,199860
I,2,Sample X194,200461
I,3,Sample X195,206160
I,4,Sample X196,202581
I,5,Sample X197,195988
I,6,Sample X198,196995
I,7,Sample X199,194975
I,8,Sample X200,195306
I,9,Sample X201,189344
I,10,Sample X202,187578
I,11,Sample X203,193362
I,12,Sample X204,194167
I,13,Sample X205,190853
I,14,Sample X206,187742
I,15,Sample X207,195138
I,16,Sample X208,195995
I,17,Sample X209,194466
I,18,Sample X210,196226
I,19,Sample X211,198670
I,20,Sample X212,199956
I,21,Sample X213,212046
I,22,Sample X214,208659
I,23,Sample X215,28196
I,24,Sample X216,28086
J,1,Sample X217,200149
J,2,Sample X218,200529
J,3,Sample X219,201883
J,4,Sample X220,201118
J,5,Sample X221,197578
J,6,Sample X222,197591
J,7,Sample X223,196904
J,8,Sample X224,196018
J,9,Sample X225,194202
J,10,Sample X226,189573
J,11,Sample X227,195578
J,12,Sample X228,196183
J,13,Sample X229,175545
J,14,Sample X230,217395
J,15,Sample X231,197449
J,16,Sample X232,197420
J,17,Sample X233,197848
J,18,Sample X234,199758
J,19,Sample X235,200416
J,20,Sample X236,199656
J,21,Sample X237,213064
J,22,Sample X238,220958
J,23,Sample X239,27828
J,24,Sample X240,27946
K,1,Sample X241,198135
K,2,Sample X242,194654
K,3,Sample X243,204396
K,4,Sample X244,203730
K,5,Sample X245,198094
K,6,Sample X246,198071
K,7,Sample X247,195763
K,8,Sample X248,194598
K,9,Sample X249,196662
K,10,Sample X250,194967
K,11,Sample X251,194926
K,12,Sample X252,195667
K,13,Sample X253,194842
K,14,Sample X254,194374
K,15,Sample X255,204930
K,16,Sample X256,200648
K,17,Sample X257,202694
K,18,Sample X258,201406
K,19,Sample X259,202298
K,20,Sample X260,202216
K,21,Sample X261,203937
K,22,Sample X262,201770
K,23,Sample X263,27457
K,24,Sample X264,27493
L,1,Sample X265,198510
L,2,Sample X266,197415
L,3,Sample X267,204214
L,4,Sample X268,204421
L,5,Sample X269,202043
L,6,Sample X270,199639
L,7,Sample X271,197224
L,8,Sample X272,197589
L,9,Sample X273,196820
L,10,Sample X274,194312
L,11,Sample X275,196666
L,12,Sample X276,195602
L,13,Sample X277,199118
L,14,Sample X278,198256
L,15,Sample X279,204068
L,16,Sample X280,203806
L,17,Sample X281,203158
L,18,Sample X282,204812
L,19,Sample X283,203508
L,20,Sample X284,204076
L,21,Sample X285,203397
L,22,Sample X286,202814
L,23,Sample X287,29063
L,24,Sample X288,29546
M,1,Sample X289,197693
M,2,Sample X290,198815
M,3,Sample X291,200568
M,4,Sample X292,200899
M,5,Sample X293,178031
M,6,Sample X294,198385
M,7,Sample X295,160424
M,8,Sample X296,192868
M,9,Sample X297,196881
M,10,Sample X298,198321
M,11,Sample X299,204160
M,12,Sample X300,204467
M,13,Sample X301,206552
M,14,Sample X302,205464
M,15,Sample X303,143167
M,16,Sample X304,200140
M,17,Sample X305,199512
M,18,Sample X306,202775
M,19,Sample X307,203512
M,20,Sample X308,203729
M,21,Sample X309,202828
M,22,Sample X310,201077
M,23,Sample X311,44402
M,24,Sample X312,33518
N,1,Sample X313,197836
N,2,Sample X314,199682
N,3,Sample X315,199176
N,4,Sample X316,197894
N,5,Sample X317,199721
N,6,Sample X318,200502
N,7,Sample X319,198421
N,8,Sample X320,196504
N,9,Sample X321,200670
N,10,Sample X322,201218
N,11,Sample X323,205914
N,12,Sample X324,206816
N,13,Sample X325,208524
N,14,Sample X326,207633
N,15,Sample X327,203262
N,16,Sample X328,203810
N,17,Sample X329,202571
N,18,Sample X330,204621
N,19,Sample X331,207325
N,20,Sample X332,204762
N,21,Sample X333,203983
N,22,Sample X334,202882
N,23,Sample X335,199471
N,24,Sample X336,199909
O,1,Sample X337,198796
O,2,Sample X338,200588
O,3,Sample X339,197596
O,4,Sample X340,196342
O,5,Sample X341,196140
O,6,Sample X342,195732
O,7,Sample X343,193823
O,8,Sample X344,192384
O,9,Sample X345,204254
O,10,Sample X346,201147
O,11,Sample X347,202285
O,12,Sample X348,202926
O,13,Sample X349,203926
O,14,Sample X350,207703
O,15,Sample X351,206454
O,16,Sample X352,206534
O,17,Sample X353,199398
O,18,Sample X354,202257
O,19,Sample X355,201583
O,20,Sample X356,202064
O,21,Sample X357,201725
O,22,Sample X358,202230
O,23,Sample X359,201926
O,24,Sample X360,201707
P,1,Sample X361,193111
P,2,Sample X362,199862
P,3,Sample X363,194747
P,4,Sample X364,194192
P,5,Sample X365,193645
P,6,Sample X366,196070
P,7,Sample X367,194820
P,8,Sample X368,194084
P,9,Sample X369,196402
P,10,Sample X370,196934
P,11,Sample X371,199929
P,12,Sample X372,199266
P,13,Sample X373,202922
P,14,Sample X374,201335
P,15,Sample X375,200680
P,16,Sample X376,201060
P,17,Sample X377,199234
P,18,Sample X378,202214
P,19,Sample X379,203745
P,20,Sample X380,204731
P,21,Sample X381,202043
P,22,Sample X382,202641
P,23,Sample X383,200727
P,24,Sample X384,206075
