User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12219,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:34:01,
ID1: Nalm6wt_AxB-FDA-E-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
J,19,Sample X235,194870
J,20,Sample X236,196606
J,21,Sample X237,213940
J,22,Sample X238,216636
J,23,Sample X239,26584
J,24,Sample X240,26622
K,1,Sample X241,184872
K,2,Sample X242,190274
K,3,Sample X243,193320
K,4,Sample X244,193835
K,5,Sample X245,188888
K,6,Sample X246,176224
K,7,Sample X247,187528
K,8,Sample X248,188098
K,9,Sample X249,188905
K,10,Sample X250,188486
K,11,Sample X251,179714
K,12,Sample X252,186382
K,13,Sample X253,188573
K,14,Sample X254,188041
K,15,Sample X255,192626
K,16,Sample X256,191805
K,17,Sample X257,196947
K,18,Sample X258,196312
K,19,Sample X259,40146
K,20,Sample X260,200254
K,21,Sample X261,202787
K,22,Sample X262,201098
K,23,Sample X263,26269
K,24,Sample X264,26410
L,1,Sample X265,184699
L,2,Sample X266,189130
L,3,Sample X267,194547
L,4,Sample X268,194991
L,5,Sample X269,191119
L,6,Sample X270,190908
L,7,Sample X271,188955
L,8,Sample X272,188677
L,9,Sample X273,192831
L,10,Sample X274,192757
L,11,Sample X275,189244
L,12,Sample X276,191430
L,13,Sample X277,193356
L,14,Sample X278,193299
L,15,Sample X279,193807
L,16,Sample X280,196221
L,17,Sample X281,198395
L,18,Sample X282,200186
L,19,Sample X283,200103
L,20,Sample X284,202112
L,21,Sample X285,202708
L,22,Sample X286,200014
L,23,Sample X287,30381
L,24,Sample X288,29659
M,1,Sample X289,183702
M,2,Sample X290,187658
M,3,Sample X291,191833
M,4,Sample X292,198060
M,5,Sample X293,189537
M,6,Sample X294,189897
M,7,Sample X295,187343
M,8,Sample X296,185909
M,9,Sample X297,191118
M,10,Sample X298,194304
M,11,Sample X299,199221
M,12,Sample X300,198389
M,13,Sample X301,202240
M,14,Sample X302,199095
M,15,Sample X303,27635
M,16,Sample X304,192558
M,17,Sample X305,196985
M,18,Sample X306,200512
M,19,Sample X307,201078
M,20,Sample X308,198658
M,21,Sample X309,202225
M,22,Sample X310,200034
M,23,Sample X311,49038
M,24,Sample X312,111020
N,1,Sample X313,184674
N,2,Sample X314,188700
N,3,Sample X315,192232
N,4,Sample X316,189179
N,5,Sample X317,190029
N,6,Sample X318,191345
N,7,Sample X319,188260
N,8,Sample X320,191180
N,9,Sample X321,195481
N,10,Sample X322,196848
N,11,Sample X323,201168
N,12,Sample X324,201648
N,13,Sample X325,204926
N,14,Sample X326,205197
N,15,Sample X327,196433
N,16,Sample X328,201387
N,17,Sample X329,199536
N,18,Sample X330,202396
N,19,Sample X331,202492
N,20,Sample X332,203496
N,21,Sample X333,203183
N,22,Sample X334,201194
N,23,Sample X335,195056
N,24,Sample X336,191895
O,1,Sample X337,152032
O,2,Sample X338,187805
O,3,Sample X339,185012
O,4,Sample X340,184372
O,5,Sample X341,185006
O,6,Sample X342,187641
O,7,Sample X343,186893
O,8,Sample X344,188731
O,9,Sample X345,192026
O,10,Sample X346,195533
O,11,Sample X347,196306
O,12,Sample X348,199447
O,13,Sample X349,200012
O,14,Sample X350,196205
O,15,Sample X351,47023
O,16,Sample X352,200680
O,17,Sample X353,200850
O,18,Sample X354,203474
O,19,Sample X355,202712
O,20,Sample X356,203995
O,21,Sample X357,201130
O,22,Sample X358,197219
O,23,Sample X359,195178
O,24,Sample X360,192351
P,1,Sample X361,187069
P,2,Sample X362,187593
P,3,Sample X363,183329
P,4,Sample X364,184322
P,5,Sample X365,185174
P,6,Sample X366,187376
P,7,Sample X367,188429
P,8,Sample X368,188435
P,9,Sample X369,192540
P,10,Sample X370,193298
P,11,Sample X371,194935
P,12,Sample X372,195816
P,13,Sample X373,196759
P,14,Sample X374,195346
P,15,Sample X375,193189
P,16,Sample X376,197084
P,17,Sample X377,196408
P,18,Sample X378,197962
P,19,Sample X379,200160
P,20,Sample X380,197884
P,21,Sample X381,198970
P,22,Sample X382,198770
P,23,Sample X383,199314
P,24,Sample X384,198074
