User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12221,
F,9,Sample X129,196020
F,10,Sample X130,194873
F,11,Sample X131,197033
F,12,Sample X132,195835
F,13,Sample X133,193767
F,14,Sample X134,191936
F,15,Sample X135,191727
F,16,Sample X136,190402
F,17,Sample X137,195221
F,18,Sample X138,194886
F,19,Sample X139,194861
F,20,Sample X140,194119
F,21,Sample X141,196922
F,22,Sample X142,195913
F,23,Sample X143,47601
F,24,Sample X144,57072
G,1,Sample X145,202678
G,2,Sample X146,203785
G,3,Sample X147,202739
G,4,Sample X148,200759
G,5,Sample X149,199363
G,6,Sample X150,197878
G,7,Sample X151,191534
G,8,Sample X152,188743
G,9,Sample X153,194933
G,10,Sample X154,192582
G,11,Sample X155,188767
G,12,Sample X156,188425
G,13,Sample X157,188864
G,14,Sample X158,141535
G,15,Sample X159,189601
G,16,Sample X160,188798
G,17,Sample X161,190328
G,18,Sample X162,190617
G,19,Sample X163,191286
G,20,Sample X164,193333
G,21,Sample X165,194728
G,22,Sample X166,193734
G,23,Sample X167,28465
G,24,Sample X168,26898
H,1,Sample X169,199185
H,2,Sample X170,199901
H,3,Sample X171,202331
H,4,Sample X172,200742
H,5,Sample X173,198017
H,6,Sample X174,194855
H,7,Sample X175,187423
H,8,Sample X176,182990
H,9,Sample X177,189454
H,10,Sample X178,187819
H,11,Sample X179,187308
H,12,Sample X180,187757
H,13,Sample X181,185838
H,14,Sample X182,185970
H,15,Sample X183,185268
H,16,Sample X184,185202
H,17,Sample X185,189166
H,18,Sample X186,186552
H,19,Sample X187,188302
H,20,Sample X188,190653
H,21,Sample X189,192827
H,22,Sample X190,192272
H,23,Sample X191,26847
H,24,Sample X192,27068
I,1,Sample X193,200758
I,2,Sample X194,202274
I,3,Sample X195,203942
I,4,Sample X196,200506
I,5,Sample X197,194557
I,6,Sample X198,194872
I,7,Sample X199,191838
I,8,Sample X200,190686
I,9,Sample X201,181481
I,10,Sample X202,179302
I,11,Sample X203,187410
I,12,Sample X204,188660
I,13,Sample X205,181064
I,14,Sample X206,176258
I,15,Sample X207,189964
I,16,Sample X208,188237
I,17,Sample X209,187368
I,18,Sample X210,188398
I,19,Sample X211,189867
I,20,Sample X212,192042
I,21,Sample X213,197086
I,22,Sample X214,195821
I,23,Sample X215,28310
I,24,Sample X216,27137
J,1,Sample X217,200108
J,2,Sample X218,200429
J,3,Sample X219,200886
J,4,Sample X220,199022
J,5,Sample X221,195357
J,6,Sample X222,192467
J,7,Sample X223,191653
J,8,Sample X224,190451
J,9,Sample X225,183612
J,10,Sample X226,181357
J,11,Sample X227,187922
J,12,Sample X228,186228
J,13,Sample X229,175664
J,14,Sample X230,194591
J,15,Sample X231,189554
J,16,Sample X232,188418
J,17,Sample X233,189591
J,18,Sample X234,190579
J,19,Sample X235,193259
J,20,Sample X236,191570
J,21,Sample X237,193996
J,22,Sample X238,201834
J,23,Sample X239,26817
J,24,Sample X240,27007
K,1,Sample X241,199270
K,2,Sample X242,199522
K,3,Sample X243,203953
K,4,Sample X244,202576
K,5,Sample X245,196616
K,6,Sample X246,195862
K,7,Sample X247,195224
K,8,Sample X248,191517
K,9,Sample X249,193358
K,10,Sample X250,190894
K,11,Sample X251,191621
K,12,Sample X252,190047
K,13,Sample X253,193776
K,14,Sample X254,190312
K,15,Sample X255,193306
K,16,Sample X256,194878
K,17,Sample X257,196272
K,18,Sample X258,195909
K,19,Sample X259,195870
K,20,Sample X260,196480
K,21,Sample X261,196968
K,22,Sample X262,195840
K,23,Sample X263,28082
K,24,Sample X264,27460
L,1,Sample X265,201835
L,2,Sample X266,199845
L,3,Sample X267,202604
L,4,Sample X268,201118
L,5,Sample X269,199239
L,6,Sample X270,195337
L,7,Sample X271,195512
L,8,Sample X272,192345
L,9,Sample X273,195270
L,10,Sample X274,192704
L,11,Sample X275,195382
L,12,Sample X276,193368
L,13,Sample X277,197156
L,14,Sample X278,196702
L,15,Sample X279,197170
L,16,Sample X280,196015
L,17,Sample X281,198015
L,18,Sample X282,196914
L,19,Sample X283,199084
L,20,Sample X284,197531
L,21,Sample X285,198497
L,22,Sample X286,196468
L,23,Sample X287,173635
L,24,Sample X288,156961
M,1,Sample X289,200983
M,2,Sample X290,201905
M,3,Sample X291,200977
M,4,Sample X292,199554
M,5,Sample X293,196130
M,6,Sample X294,201797
M,7,Sample X295,196971
M,8,Sample X296,193937
M,9,Sample X297,198831
M,10,Sample X298,198911
M,11,Sample X299,203255
M,12,Sample X300,203183
M,13,Sample X301,203107
M,14,Sample X302,202684
M,15,Sample X303,199205
M,16,Sample X304,199946
M,17,Sample X305,198079
M,18,Sample X306,201800
M,19,Sample X307,201997
M,20,Sample X308,203348
M,21,Sample X309,200409
M,22,Sample X310,199540
M,23,Sample X311,106260
M,24,Sample X312,59532
N,1,Sample X313,202722
N,2,Sample X314,200256
N,3,Sample X315,199704
N,4,Sample X316,200260
N,5,Sample X317,200897
N,6,Sample X318,199978
N,7,Sample X319,199192
N,8,Sample X320,197194
N,9,Sample X321,202177
N,10,Sample X322,201526
N,11,Sample X323,203314
N,12,Sample X324,203020
N,13,Sample X325,206015
N,14,Sample X326,203582
N,15,Sample X327,203369
N,16,Sample X328,202575
N,17,Sample X329,200604
N,18,Sample X330,202638
N,19,Sample X331,204188
N,20,Sample X332,202349
N,21,Sample X333,202082
N,22,Sample X334,201022
N,23,Sample X335,200562
N,24,Sample X336,196047
O,1,Sample X337,204882
O,2,Sample X338,204580
O,3,Sample X339,202900
O,4,Sample X340,199952
O,5,Sample X341,199392
O,6,Sample X342,198091
O,7,Sample X343,198584
O,8,Sample X344,199244
O,9,Sample X345,209921
O,10,Sample X346,202954
O,11,Sample X347,204342
O,12,Sample X348,204646
O,13,Sample X349,207602
O,14,Sample X350,206678
O,15,Sample X351,205278
O,16,Sample X352,205726
O,17,Sample X353,201532
O,18,Sample X354,203402
O,19,Sample X355,205730
O,20,Sample X356,206426
O,21,Sample X357,204761
O,22,Sample X358,205228
O,23,Sample X359,200342
O,24,Sample X360,198242
P,1,Sample X361,195055
P,2,Sample X362,199234
P,3,Sample X363,195284
P,4,Sample X364,196676
P,5,Sample X365,196096
P,6,Sample X366,196634
P,7,Sample X367,198826
P,8,Sample X368,198584
P,9,Sample X369,200105
P,10,Sample X370,199874
P,11,Sample X371,200804
P,12,Sample X372,200400
P,13,Sample X373,204272
P,14,Sample X374,202320
P,15,Sample X375,199936
P,16,Sample X376,201266
P,17,Sample X377,200808
P,18,Sample X378,199618
P,19,Sample X379,201760
P,20,Sample X380,199431
P,21,Sample X381,199514
P,22,Sample X382,198971
P,23,Sample X383,196950
P,24,Sample X384,196706
