User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12221,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:39:54,
ID1: Nalm6wt_AxB-FDA-F-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,213597
A,2,Sample X2,209609
A,3,Sample X3,212165
A,4,Sample X4,211196
A,5,Sample X5,205219
A,6,Sample X6,205580
A,7,Sample X7,204635
A,8,Sample X8,199917
A,9,Sample X9,210589
A,10,Sample X10,210856
A,11,Sample X11,209300
A,12,Sample X12,212806
A,13,Sample X13,217929
A,14,Sample X14,214082
A,15,Sample X15,202270
A,16,Sample X16,206987
A,17,Sample X17,208906
A,18,Sample X18,210779
A,19,Sample X19,210925
A,20,Sample X20,209242
A,21,Sample X21,207532
A,22,Sample X22,206870
A,23,Sample X23,209695
A,24,Sample X24,204801
B,1,Sample X25,209238
B,2,Sample X26,210014
B,3,Sample X27,214252
B,4,Sample X28,212506
B,5,Sample X29,209090
B,6,Sample X30,205712
B,7,Sample X31,206299
B,8,Sample X32,202040
B,9,Sample X33,210398
B,10,Sample X34,211225
B,11,Sample X35,209266
B,12,Sample X36,212596
B,13,Sample X37,215172
B,14,Sample X38,212943
B,15,Sample X39,209530
B,16,Sample X40,207534
B,17,Sample X41,206596
B,18,Sample X42,208662
B,19,Sample X43,211582
B,20,Sample X44,211626
B,21,Sample X45,210391
B,22,Sample X46,210629
B,23,Sample X47,204946
B,24,Sample X48,204086
C,1,Sample X49,210844
C,2,Sample X50,209124
C,3,Sample X51,211500
C,4,Sample X52,210638
C,5,Sample X53,212839
C,6,Sample X54,209364
C,7,Sample X55,206495
C,8,Sample X56,202746
C,9,Sample X57,204092
C,10,Sample X58,205850
C,11,Sample X59,206139
C,12,Sample X60,206784
C,13,Sample X61,205477
C,14,Sample X62,205170
C,15,Sample X63,204758
C,16,Sample X64,204336
C,17,Sample X65,203088
C,18,Sample X66,206106
C,19,Sample X67,206310
C,20,Sample X68,206125
C,21,Sample X69,206647
C,22,Sample X70,206042
C,23,Sample X71,202666
C,24,Sample X72,198418
D,1,Sample X73,210336
D,2,Sample X74,208433
D,3,Sample X75,208025
D,4,Sample X76,206826
D,5,Sample X77,209331
D,6,Sample X78,204421
D,7,Sample X79,203929
D,8,Sample X80,201306
D,9,Sample X81,202839
D,10,Sample X82,200906
D,11,Sample X83,201164
D,12,Sample X84,202696
D,13,Sample X85,200936
D,14,Sample X86,201780
D,15,Sample X87,199755
D,16,Sample X88,197989
D,17,Sample X89,200429
D,18,Sample X90,199184
D,19,Sample X91,201956
D,20,Sample X92,201118
D,21,Sample X93,203332
D,22,Sample X94,203662
D,23,Sample X95,40949
D,24,Sample X96,34807
E,1,Sample X97,204164
E,2,Sample X98,211317
E,3,Sample X99,208752
E,4,Sample X100,203290
E,5,Sample X101,205625
E,6,Sample X102,203430
E,7,Sample X103,199648
E,8,Sample X104,197131
E,9,Sample X105,200890
E,10,Sample X106,200249
E,11,Sample X107,206925
E,12,Sample X108,207194
E,13,Sample X109,198932
E,14,Sample X110,198180
E,15,Sample X111,196058
E,16,Sample X112,196932
E,17,Sample X113,196466
E,18,Sample X114,197228
E,19,Sample X115,197485
E,20,Sample X116,198578
E,21,Sample X117,197774
E,22,Sample X118,199192
E,23,Sample X119,56169
E,24,Sample X120,45667
F,1,Sample X121,204095
F,2,Sample X122,208558
F,3,Sample X123,203502
F,4,Sample X124,201869
F,5,Sample X125,200975
F,6,Sample X126,198950
F,7,Sample X127,197763
F,8,Sample X128,195537
