User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12212,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:12:47,
ID1: Nalm6wt_AxB-FDA-C-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
J,19,Sample X235,199540
J,20,Sample X236,185423
J,21,Sample X237,208570
J,22,Sample X238,221850
J,23,Sample X239,26708
J,24,Sample X240,26733
K,1,Sample X241,201748
K,2,Sample X242,199134
K,3,Sample X243,199345
K,4,Sample X244,200500
K,5,Sample X245,194808
K,6,Sample X246,203342
K,7,Sample X247,198533
K,8,Sample X248,193076
K,9,Sample X249,192852
K,10,Sample X250,194006
K,11,Sample X251,196905
K,12,Sample X252,203808
K,13,Sample X253,190572
K,14,Sample X254,193112
K,15,Sample X255,197959
K,16,Sample X256,193978
K,17,Sample X257,199650
K,18,Sample X258,196530
K,19,Sample X259,192577
K,20,Sample X260,195594
K,21,Sample X261,198390
K,22,Sample X262,196866
K,23,Sample X263,26755
K,24,Sample X264,26996
L,1,Sample X265,201279
L,2,Sample X266,198630
L,3,Sample X267,192081
L,4,Sample X268,214551
L,5,Sample X269,197922
L,6,Sample X270,199735
L,7,Sample X271,196891
L,8,Sample X272,186832
L,9,Sample X273,191096
L,10,Sample X274,235374
L,11,Sample X275,199114
L,12,Sample X276,241665
L,13,Sample X277,194029
L,14,Sample X278,193120
L,15,Sample X279,187886
L,16,Sample X280,231197
L,17,Sample X281,187728
L,18,Sample X282,234442
L,19,Sample X283,193062
L,20,Sample X284,190740
L,21,Sample X285,199641
L,22,Sample X286,188709
L,23,Sample X287,27202
L,24,Sample X288,26721
M,1,Sample X289,197047
M,2,Sample X290,201647
M,3,Sample X291,202510
M,4,Sample X292,200093
M,5,Sample X293,197962
M,6,Sample X294,197500
M,7,Sample X295,194962
M,8,Sample X296,195180
M,9,Sample X297,191100
M,10,Sample X298,194556
M,11,Sample X299,195976
M,12,Sample X300,199257
M,13,Sample X301,201540
M,14,Sample X302,201175
M,15,Sample X303,191157
M,16,Sample X304,192993
M,17,Sample X305,190408
M,18,Sample X306,195251
M,19,Sample X307,200405
M,20,Sample X308,196351
M,21,Sample X309,192931
M,22,Sample X310,195057
M,23,Sample X311,27554
M,24,Sample X312,27944
N,1,Sample X313,201255
N,2,Sample X314,201026
N,3,Sample X315,203465
N,4,Sample X316,200459
N,5,Sample X317,196691
N,6,Sample X318,194733
N,7,Sample X319,194168
N,8,Sample X320,196367
N,9,Sample X321,201687
N,10,Sample X322,196310
N,11,Sample X323,192386
N,12,Sample X324,237199
N,13,Sample X325,192514
N,14,Sample X326,229648
N,15,Sample X327,195592
N,16,Sample X328,192160
N,17,Sample X329,191090
N,18,Sample X330,195439
N,19,Sample X331,200545
N,20,Sample X332,195602
N,21,Sample X333,195028
N,22,Sample X334,193136
N,23,Sample X335,172911
N,24,Sample X336,193758
O,1,Sample X337,195812
O,2,Sample X338,201050
O,3,Sample X339,197756
O,4,Sample X340,198256
O,5,Sample X341,196929
O,6,Sample X342,196187
O,7,Sample X343,191594
O,8,Sample X344,197173
O,9,Sample X345,200935
O,10,Sample X346,200321
O,11,Sample X347,195182
O,12,Sample X348,198644
O,13,Sample X349,195134
O,14,Sample X350,198161
O,15,Sample X351,196780
O,16,Sample X352,197486
O,17,Sample X353,193306
O,18,Sample X354,196863
O,19,Sample X355,193562
O,20,Sample X356,198272
O,21,Sample X357,195097
O,22,Sample X358,198280
O,23,Sample X359,196968
O,24,Sample X360,195611
P,1,Sample X361,191996
P,2,Sample X362,192268
P,3,Sample X363,193951
P,4,Sample X364,195123
P,5,Sample X365,194965
P,6,Sample X366,193870
P,7,Sample X367,192278
P,8,Sample X368,192936
P,9,Sample X369,195903
P,10,Sample X370,199976
P,11,Sample X371,198496
P,12,Sample X372,201183
P,13,Sample X373,193302
P,14,Sample X374,197445
P,15,Sample X375,195445
P,16,Sample X376,196764
P,17,Sample X377,197954
P,18,Sample X378,187901
P,19,Sample X379,196503
P,20,Sample X380,195896
P,21,Sample X381,194481
P,22,Sample X382,191935
P,23,Sample X383,194705
P,24,Sample X384,196090
