User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12216,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:25:06,
ID1: Nalm6wt_AxB-FDA-D-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,208062
A,2,Sample X2,214534
A,3,Sample X3,211540
A,4,Sample X4,212025
A,5,Sample X5,211994
A,6,Sample X6,201805
A,7,Sample X7,212181
A,8,Sample X8,212676
A,9,Sample X9,214531
A,10,Sample X10,214371
A,11,Sample X11,216448
A,12,Sample X12,57239
A,13,Sample X13,219484
A,14,Sample X14,216516
A,15,Sample X15,212296
A,16,Sample X16,214553
A,17,Sample X17,244588
A,18,Sample X18,219563
A,19,Sample X19,212492
A,20,Sample X20,211379
A,21,Sample X21,209270
A,22,Sample X22,209823
A,23,Sample X23,209854
A,24,Sample X24,206815
B,1,Sample X25,211007
B,2,Sample X26,211464
B,3,Sample X27,216586
B,4,Sample X28,213528
B,5,Sample X29,213226
B,6,Sample X30,208292
B,7,Sample X31,209314
B,8,Sample X32,202610
B,9,Sample X33,214582
B,10,Sample X34,211506
B,11,Sample X35,213896
B,12,Sample X36,218365
B,13,Sample X37,185048
B,14,Sample X38,221935
B,15,Sample X39,214073
B,16,Sample X40,211737
B,17,Sample X41,213123
B,18,Sample X42,210207
B,19,Sample X43,212805
B,20,Sample X44,207476
B,21,Sample X45,213760
B,22,Sample X46,212197
B,23,Sample X47,212333
B,24,Sample X48,201254
C,1,Sample X49,204516
C,2,Sample X50,213713
C,3,Sample X51,211182
C,4,Sample X52,209884
C,5,Sample X53,211071
C,6,Sample X54,206546
C,7,Sample X55,36084
C,8,Sample X56,203506
C,9,Sample X57,209851
C,10,Sample X58,208818
C,11,Sample X59,207090
C,12,Sample X60,211878
C,13,Sample X61,207292
C,14,Sample X62,209050
C,15,Sample X63,205707
C,16,Sample X64,206197
C,17,Sample X65,202781
C,18,Sample X66,205245
C,19,Sample X67,194262
C,20,Sample X68,200194
C,21,Sample X69,205442
C,22,Sample X70,206698
C,23,Sample X71,205822
C,24,Sample X72,203600
D,1,Sample X73,206350
D,2,Sample X74,207907
D,3,Sample X75,207570
D,4,Sample X76,207910
D,5,Sample X77,204594
D,6,Sample X78,184495
D,7,Sample X79,204081
D,8,Sample X80,200226
D,9,Sample X81,203420
D,10,Sample X82,203426
D,11,Sample X83,202514
D,12,Sample X84,200750
D,13,Sample X85,203820
D,14,Sample X86,201004
D,15,Sample X87,199783
D,16,Sample X88,199021
D,17,Sample X89,198124
D,18,Sample X90,197524
D,19,Sample X91,194140
D,20,Sample X92,182557
D,21,Sample X93,201361
D,22,Sample X94,197665
D,23,Sample X95,36483
D,24,Sample X96,79523
E,1,Sample X97,205713
E,2,Sample X98,211720
E,3,Sample X99,205854
E,4,Sample X100,201071
E,5,Sample X101,202290
E,6,Sample X102,200646
E,7,Sample X103,200890
E,8,Sample X104,198753
E,9,Sample X105,198822
E,10,Sample X106,199693
E,11,Sample X107,197417
E,12,Sample X108,194987
E,13,Sample X109,194985
E,14,Sample X110,196734
E,15,Sample X111,186188
E,16,Sample X112,188718
E,17,Sample X113,164646
E,18,Sample X114,30267
E,19,Sample X115,37675
E,20,Sample X116,39360
E,21,Sample X117,122261
E,22,Sample X118,120943
E,23,Sample X119,38678
E,24,Sample X120,31482
F,1,Sample X121,208242
F,2,Sample X122,200418
F,3,Sample X123,232592
F,4,Sample X124,213666
F,5,Sample X125,201792
F,6,Sample X126,196341
F,7,Sample X127,197089
F,8,Sample X128,192675
F,9,Sample X129,193119
F,10,Sample X130,30606
F,11,Sample X131,163478
F,12,Sample X132,193461
F,13,Sample X133,194675
F,14,Sample X134,186035
F,15,Sample X135,185146
F,16,Sample X136,177924
F,17,Sample X137,164067
F,18,Sample X138,159492
F,19,Sample X139,40663
F,20,Sample X140,36620
F,21,Sample X141,108552
F,22,Sample X142,114353
F,23,Sample X143,33944
F,24,Sample X144,32454
G,1,Sample X145,202383
G,2,Sample X146,210749
G,3,Sample X147,203358
G,4,Sample X148,203060
G,5,Sample X149,182555
G,6,Sample X150,159809
G,7,Sample X151,191674
G,8,Sample X152,195878
G,9,Sample X153,189534
G,10,Sample X154,184199
G,11,Sample X155,186198
G,12,Sample X156,192981
G,13,Sample X157,185606
G,14,Sample X158,191259
G,15,Sample X159,185596
G,16,Sample X160,186066
G,17,Sample X161,190281
G,18,Sample X162,190334
G,19,Sample X163,67254
G,20,Sample X164,61222
G,21,Sample X165,109539
G,22,Sample X166,96682
G,23,Sample X167,26938
G,24,Sample X168,27252
H,1,Sample X169,200726
H,2,Sample X170,205934
H,3,Sample X171,205928
H,4,Sample X172,201662
H,5,Sample X173,33644
H,6,Sample X174,39999
H,7,Sample X175,188967
H,8,Sample X176,188306
H,9,Sample X177,175081
H,10,Sample X178,198836
H,11,Sample X179,191104
H,12,Sample X180,180439
H,13,Sample X181,183798
H,14,Sample X182,179876
H,15,Sample X183,183864
H,16,Sample X184,184728
H,17,Sample X185,188704
H,18,Sample X186,183882
H,19,Sample X187,55338
H,20,Sample X188,55480
H,21,Sample X189,90167
H,22,Sample X190,104346
H,23,Sample X191,26406
H,24,Sample X192,25482
I,1,Sample X193,200910
I,2,Sample X194,206327
I,3,Sample X195,206180
I,4,Sample X196,201363
I,5,Sample X197,194194
I,6,Sample X198,193093
I,7,Sample X199,29966
I,8,Sample X200,28300
I,9,Sample X201,186154
I,10,Sample X202,191322
I,11,Sample X203,166340
I,12,Sample X204,191226
I,13,Sample X205,179808
I,14,Sample X206,187612
I,15,Sample X207,184814
I,16,Sample X208,186624
I,17,Sample X209,185973
I,18,Sample X210,189561
I,19,Sample X211,186969
I,20,Sample X212,192977
I,21,Sample X213,178918
I,22,Sample X214,162549
I,23,Sample X215,26512
I,24,Sample X216,26258
J,1,Sample X217,202168
J,2,Sample X218,202707
J,3,Sample X219,201270
J,4,Sample X220,197451
J,5,Sample X221,194495
J,6,Sample X222,191673
J,7,Sample X223,94722
J,8,Sample X224,174574
J,9,Sample X225,184816
J,10,Sample X226,183298
J,11,Sample X227,183723
J,12,Sample X228,189235
J,13,Sample X229,174666
J,14,Sample X230,199237
J,15,Sample X231,27390
J,16,Sample X232,52544
J,17,Sample X233,189605
J,18,Sample X234,186790
J,19,Sample X235,190572
J,20,Sample X236,190790
J,21,Sample X237,203685
J,22,Sample X238,194864
J,23,Sample X239,26124
J,24,Sample X240,25580
K,1,Sample X241,200032
K,2,Sample X242,205484
K,3,Sample X243,204896
K,4,Sample X244,199057
K,5,Sample X245,196726
K,6,Sample X246,200134
K,7,Sample X247,190533
K,8,Sample X248,35317
K,9,Sample X249,187620
K,10,Sample X250,36961
K,11,Sample X251,30007
K,12,Sample X252,31750
K,13,Sample X253,186370
K,14,Sample X254,191138
K,15,Sample X255,188804
K,16,Sample X256,187221
K,17,Sample X257,190934
K,18,Sample X258,189232
K,19,Sample X259,36116
K,20,Sample X260,194738
K,21,Sample X261,196163
K,22,Sample X262,198223
K,23,Sample X263,26063
K,24,Sample X264,27042
L,1,Sample X265,200736
L,2,Sample X266,211807
L,3,Sample X267,197115
L,4,Sample X268,135128
L,5,Sample X269,198652
L,6,Sample X270,196116
L,7,Sample X271,100966
L,8,Sample X272,186813
L,9,Sample X273,163030
L,10,Sample X274,184642
L,11,Sample X275,31098
L,12,Sample X276,32398
L,13,Sample X277,191853
L,14,Sample X278,192846
L,15,Sample X279,188595
L,16,Sample X280,181483
L,17,Sample X281,197258
L,18,Sample X282,173092
L,19,Sample X283,196088
L,20,Sample X284,194944
L,21,Sample X285,198133
L,22,Sample X286,198183
L,23,Sample X287,29214
L,24,Sample X288,37927
M,1,Sample X289,205195
M,2,Sample X290,208788
M,3,Sample X291,204346
M,4,Sample X292,203836
M,5,Sample X293,52252
M,6,Sample X294,202736
M,7,Sample X295,195684
M,8,Sample X296,192577
M,9,Sample X297,30190
M,10,Sample X298,156594
M,11,Sample X299,196012
M,12,Sample X300,197805
M,13,Sample X301,202383
M,14,Sample X302,197138
M,15,Sample X303,195846
M,16,Sample X304,196042
M,17,Sample X305,198224
M,18,Sample X306,196371
M,19,Sample X307,198125
M,20,Sample X308,198696
M,21,Sample X309,200162
M,22,Sample X310,200184
M,23,Sample X311,33093
M,24,Sample X312,97479
N,1,Sample X313,205852
N,2,Sample X314,203850
N,3,Sample X315,205492
N,4,Sample X316,197177
N,5,Sample X317,205250
N,6,Sample X318,68949
N,7,Sample X319,200292
N,8,Sample X320,196960
N,9,Sample X321,204529
N,10,Sample X322,31308
N,11,Sample X323,201486
N,12,Sample X324,188254
N,13,Sample X325,199027
N,14,Sample X326,150196
N,15,Sample X327,200278
N,16,Sample X328,160168
N,17,Sample X329,201141
N,18,Sample X330,127568
N,19,Sample X331,203781
N,20,Sample X332,203573
N,21,Sample X333,203212
N,22,Sample X334,196724
N,23,Sample X335,200623
N,24,Sample X336,189059
O,1,Sample X337,207511
O,2,Sample X338,207581
O,3,Sample X339,207400
O,4,Sample X340,206355
O,5,Sample X341,202717
O,6,Sample X342,203791
O,7,Sample X343,205652
O,8,Sample X344,199951
O,9,Sample X345,201876
O,10,Sample X346,205980
O,11,Sample X347,201460
O,12,Sample X348,205832
O,13,Sample X349,205042
O,14,Sample X350,207566
O,15,Sample X351,203744
O,16,Sample X352,204420
