User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12222,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:42:55,
ID1: Nalm6wt_AxB-FDA-F-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
J,19,Sample X235,195815
J,20,Sample X236,195728
J,21,Sample X237,208095
J,22,Sample X238,215758
J,23,Sample X239,26746
J,24,Sample X240,27129
K,1,Sample X241,203906
K,2,Sample X242,199830
K,3,Sample X243,210750
K,4,Sample X244,204130
K,5,Sample X245,206528
K,6,Sample X246,198216
K,7,Sample X247,200101
K,8,Sample X248,193662
K,9,Sample X249,197910
K,10,Sample X250,193061
K,11,Sample X251,193487
K,12,Sample X252,186563
K,13,Sample X253,195772
K,14,Sample X254,192127
K,15,Sample X255,199550
K,16,Sample X256,195490
K,17,Sample X257,204833
K,18,Sample X258,197980
K,19,Sample X259,209882
K,20,Sample X260,199114
K,21,Sample X261,204558
K,22,Sample X262,197155
K,23,Sample X263,27160
K,24,Sample X264,26974
L,1,Sample X265,202533
L,2,Sample X266,202173
L,3,Sample X267,206303
L,4,Sample X268,204170
L,5,Sample X269,201012
L,6,Sample X270,201111
L,7,Sample X271,197680
L,8,Sample X272,197182
L,9,Sample X273,196785
L,10,Sample X274,194752
L,11,Sample X275,191666
L,12,Sample X276,193272
L,13,Sample X277,197152
L,14,Sample X278,196792
L,15,Sample X279,198300
L,16,Sample X280,199995
L,17,Sample X281,200214
L,18,Sample X282,202684
L,19,Sample X283,202010
L,20,Sample X284,202118
L,21,Sample X285,198264
L,22,Sample X286,199194
L,23,Sample X287,36661
L,24,Sample X288,48425
M,1,Sample X289,205270
M,2,Sample X290,202311
M,3,Sample X291,215646
M,4,Sample X292,208043
M,5,Sample X293,190222
M,6,Sample X294,201558
M,7,Sample X295,198640
M,8,Sample X296,195991
M,9,Sample X297,206035
M,10,Sample X298,202454
M,11,Sample X299,208200
M,12,Sample X300,205242
M,13,Sample X301,212664
M,14,Sample X302,204444
M,15,Sample X303,38063
M,16,Sample X304,200736
M,17,Sample X305,203326
M,18,Sample X306,200447
M,19,Sample X307,210332
M,20,Sample X308,199450
M,21,Sample X309,205463
M,22,Sample X310,196573
M,23,Sample X311,42848
