User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12206,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:54:54,
ID1: Nalm6wt_AxB-FDA-B-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,221685
A,2,Sample X2,217726
A,3,Sample X3,221194
A,4,Sample X4,211752
A,5,Sample X5,214820
A,6,Sample X6,176354
A,7,Sample X7,215833
A,8,Sample X8,165866
A,9,Sample X9,218704
A,10,Sample X10,212214
A,11,Sample X11,212657
A,12,Sample X12,28820
A,13,Sample X13,128304
A,14,Sample X14,213130
A,15,Sample X15,31520
A,16,Sample X16,212515
A,17,Sample X17,162009
A,18,Sample X18,213799
A,19,Sample X19,219692
A,20,Sample X20,214878
A,21,Sample X21,207011
A,22,Sample X22,213485
A,23,Sample X23,213202
A,24,Sample X24,210775
B,1,Sample X25,214274
B,2,Sample X26,221369
B,3,Sample X27,220616
B,4,Sample X28,222132
B,5,Sample X29,192664
B,6,Sample X30,189790
B,7,Sample X31,189572
B,8,Sample X32,166310
B,9,Sample X33,214071
B,10,Sample X34,215203
B,11,Sample X35,28278
B,12,Sample X36,28748
B,13,Sample X37,217163
B,14,Sample X38,222609
B,15,Sample X39,211281
B,16,Sample X40,211786
B,17,Sample X41,212665
B,18,Sample X42,217956
B,19,Sample X43,218143
B,20,Sample X44,219532
B,21,Sample X45,218962
B,22,Sample X46,221742
B,23,Sample X47,213631
B,24,Sample X48,211217
C,1,Sample X49,216366
C,2,Sample X50,220306
C,3,Sample X51,220862
C,4,Sample X52,220831
C,5,Sample X53,221900
C,6,Sample X54,217912
C,7,Sample X55,170695
C,8,Sample X56,207366
C,9,Sample X57,216982
C,10,Sample X58,211460
C,11,Sample X59,34557
C,12,Sample X60,51540
C,13,Sample X61,214798
C,14,Sample X62,209560
C,15,Sample X63,31581
C,16,Sample X64,35693
C,17,Sample X65,31193
C,18,Sample X66,31584
C,19,Sample X67,219879
C,20,Sample X68,213954
C,21,Sample X69,220527
C,22,Sample X70,214755
C,23,Sample X71,218704
C,24,Sample X72,206475
D,1,Sample X73,215552
D,2,Sample X74,219616
D,3,Sample X75,213268
D,4,Sample X76,199659
D,5,Sample X77,217787
D,6,Sample X78,213857
D,7,Sample X79,209836
D,8,Sample X80,207906
D,9,Sample X81,207228
D,10,Sample X82,208493
D,11,Sample X83,42593
D,12,Sample X84,30233
D,13,Sample X85,203916
D,14,Sample X86,205708
D,15,Sample X87,31935
D,16,Sample X88,208239
D,17,Sample X89,31923
D,18,Sample X90,205152
D,19,Sample X91,210880
D,20,Sample X92,212806
D,21,Sample X93,210693
D,22,Sample X94,212288
D,23,Sample X95,46406
D,24,Sample X96,98790
E,1,Sample X97,31469
E,2,Sample X98,28169
E,3,Sample X99,29726
E,4,Sample X100,233106
E,5,Sample X101,216671
E,6,Sample X102,208598
E,7,Sample X103,209258
E,8,Sample X104,190558
E,9,Sample X105,167878
E,10,Sample X106,207316
E,11,Sample X107,215892
E,12,Sample X108,213260
E,13,Sample X109,46468
E,14,Sample X110,202457
E,15,Sample X111,204600
E,16,Sample X112,201350
E,17,Sample X113,207956
E,18,Sample X114,206418
E,19,Sample X115,210245
E,20,Sample X116,207457
E,21,Sample X117,216001
E,22,Sample X118,209688
E,23,Sample X119,40655
E,24,Sample X120,36524
F,1,Sample X121,28296
F,2,Sample X122,68517
F,3,Sample X123,30772
F,4,Sample X124,215719
F,5,Sample X125,28691
F,6,Sample X126,63707
F,7,Sample X127,203450
F,8,Sample X128,201854
F,9,Sample X129,204049
F,10,Sample X130,204533
F,11,Sample X131,209858
F,12,Sample X132,213078
F,13,Sample X133,198694
F,14,Sample X134,201323
F,15,Sample X135,196947
F,16,Sample X136,201578
F,17,Sample X137,202273
F,18,Sample X138,205688
F,19,Sample X139,203774
F,20,Sample X140,204830
F,21,Sample X141,205123
F,22,Sample X142,206965
F,23,Sample X143,37714
F,24,Sample X144,41182
G,1,Sample X145,214699
G,2,Sample X146,212968
G,3,Sample X147,136623
G,4,Sample X148,208526
G,5,Sample X149,210098
G,6,Sample X150,202459
G,7,Sample X151,205112
G,8,Sample X152,198637
G,9,Sample X153,209263
G,10,Sample X154,206126
G,11,Sample X155,199395
G,12,Sample X156,191362
G,13,Sample X157,215985
G,14,Sample X158,229152
G,15,Sample X159,30054
G,16,Sample X160,199024
G,17,Sample X161,202909
G,18,Sample X162,200076
G,19,Sample X163,201977
G,20,Sample X164,200916
G,21,Sample X165,205268
G,22,Sample X166,205317
G,23,Sample X167,28622
G,24,Sample X168,28073
H,1,Sample X169,209088
H,2,Sample X170,214086
H,3,Sample X171,209764
H,4,Sample X172,209856
H,5,Sample X173,205025
H,6,Sample X174,203197
H,7,Sample X175,198187
H,8,Sample X176,198100
H,9,Sample X177,203958
