User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12220,
I,18,Sample X210,190050
I,19,Sample X211,190338
I,20,Sample X212,38266
I,21,Sample X213,181255
I,22,Sample X214,160968
I,23,Sample X215,27047
I,24,Sample X216,27189
J,1,Sample X217,201093
J,2,Sample X218,205718
J,3,Sample X219,204035
J,4,Sample X220,195111
J,5,Sample X221,197974
J,6,Sample X222,191480
J,7,Sample X223,193944
J,8,Sample X224,189721
J,9,Sample X225,190646
J,10,Sample X226,189603
J,11,Sample X227,193060
J,12,Sample X228,187984
J,13,Sample X229,186780
J,14,Sample X230,181775
J,15,Sample X231,189416
J,16,Sample X232,186332
J,17,Sample X233,192040
J,18,Sample X234,187291
J,19,Sample X235,192315
J,20,Sample X236,191296
J,21,Sample X237,212065
J,22,Sample X238,204954
J,23,Sample X239,26624
J,24,Sample X240,27004
K,1,Sample X241,200033
K,2,Sample X242,205225
K,3,Sample X243,205424
K,4,Sample X244,200816
K,5,Sample X245,198668
K,6,Sample X246,194441
K,7,Sample X247,194273
K,8,Sample X248,193142
K,9,Sample X249,191699
K,10,Sample X250,190998
K,11,Sample X251,189665
K,12,Sample X252,190307
K,13,Sample X253,192230
K,14,Sample X254,194335
K,15,Sample X255,189942
K,16,Sample X256,191534
K,17,Sample X257,193786
K,18,Sample X258,192730
K,19,Sample X259,34844
K,20,Sample X260,201732
K,21,Sample X261,204843
K,22,Sample X262,199193
K,23,Sample X263,26657
K,24,Sample X264,27337
L,1,Sample X265,201195
L,2,Sample X266,202959
L,3,Sample X267,200547
L,4,Sample X268,174428
L,5,Sample X269,199786
L,6,Sample X270,194274
L,7,Sample X271,196482
L,8,Sample X272,191861
L,9,Sample X273,194510
L,10,Sample X274,188067
L,11,Sample X275,192206
L,12,Sample X276,190803
L,13,Sample X277,196365
L,14,Sample X278,194101
L,15,Sample X279,192230
L,16,Sample X280,186734
L,17,Sample X281,193760
L,18,Sample X282,185188
L,19,Sample X283,197626
L,20,Sample X284,191842
L,21,Sample X285,202123
L,22,Sample X286,195813
L,23,Sample X287,29782
L,24,Sample X288,28734
M,1,Sample X289,200778
M,2,Sample X290,207280
M,3,Sample X291,206406
M,4,Sample X292,208492
M,5,Sample X293,200133
M,6,Sample X294,200200
M,7,Sample X295,196406
M,8,Sample X296,195999
M,9,Sample X297,199299
M,10,Sample X298,201502
M,11,Sample X299,202265
M,12,Sample X300,202923
M,13,Sample X301,203360
M,14,Sample X302,202868
M,15,Sample X303,28198
M,16,Sample X304,196859
M,17,Sample X305,200183
M,18,Sample X306,203517
M,19,Sample X307,203284
M,20,Sample X308,201137
M,21,Sample X309,202898
M,22,Sample X310,202813
M,23,Sample X311,49845
M,24,Sample X312,108742
N,1,Sample X313,200016
N,2,Sample X314,197365
N,3,Sample X315,203246
N,4,Sample X316,191530
N,5,Sample X317,203233
N,6,Sample X318,201864
N,7,Sample X319,198736
N,8,Sample X320,196789
N,9,Sample X321,204996
N,10,Sample X322,204650
N,11,Sample X323,204254
N,12,Sample X324,189829
N,13,Sample X325,204972
N,14,Sample X326,193965
N,15,Sample X327,202946
N,16,Sample X328,206571
N,17,Sample X329,206026
N,18,Sample X330,202292
N,19,Sample X331,204073
N,20,Sample X332,199901
N,21,Sample X333,205217
N,22,Sample X334,197239
N,23,Sample X335,201322
N,24,Sample X336,190622
O,1,Sample X337,161973
O,2,Sample X338,202989
O,3,Sample X339,205952
O,4,Sample X340,203294
O,5,Sample X341,204128
O,6,Sample X342,206409
O,7,Sample X343,204422
O,8,Sample X344,205967
O,9,Sample X345,208514
O,10,Sample X346,209851
O,11,Sample X347,211032
O,12,Sample X348,211511
O,13,Sample X349,211998
O,14,Sample X350,206807
O,15,Sample X351,49022
O,16,Sample X352,211477
O,17,Sample X353,206733
O,18,Sample X354,209266
O,19,Sample X355,210390
O,20,Sample X356,211276
O,21,Sample X357,208045
O,22,Sample X358,208097
O,23,Sample X359,202065
O,24,Sample X360,201274
P,1,Sample X361,201982
P,2,Sample X362,198248
P,3,Sample X363,196702
P,4,Sample X364,193626
P,5,Sample X365,199767
P,6,Sample X366,200321
P,7,Sample X367,203326
P,8,Sample X368,200319
P,9,Sample X369,203280
P,10,Sample X370,204166
P,11,Sample X371,204462
P,12,Sample X372,201686
P,13,Sample X373,204335
P,14,Sample X374,198574
P,15,Sample X375,203200
P,16,Sample X376,201828
P,17,Sample X377,203120
P,18,Sample X378,201260
P,19,Sample X379,204280
P,20,Sample X380,202313
P,21,Sample X381,202365
P,22,Sample X382,202655
P,23,Sample X383,202564
P,24,Sample X384,200171
