User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12220,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:36:54,
ID1: Nalm6wt_AxB-FDA-E-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,214452
A,2,Sample X2,211635
A,3,Sample X3,212135
A,4,Sample X4,211885
A,5,Sample X5,210286
A,6,Sample X6,213189
A,7,Sample X7,210954
A,8,Sample X8,212185
A,9,Sample X9,212500
A,10,Sample X10,215287
A,11,Sample X11,211685
A,12,Sample X12,212946
A,13,Sample X13,216252
A,14,Sample X14,211299
A,15,Sample X15,209409
A,16,Sample X16,210561
A,17,Sample X17,213242
A,18,Sample X18,213314
A,19,Sample X19,212957
A,20,Sample X20,209584
A,21,Sample X21,205300
A,22,Sample X22,206608
A,23,Sample X23,205943
A,24,Sample X24,204504
B,1,Sample X25,210103
B,2,Sample X26,212042
B,3,Sample X27,217524
B,4,Sample X28,213484
B,5,Sample X29,213989
B,6,Sample X30,214748
B,7,Sample X31,213361
B,8,Sample X32,209262
B,9,Sample X33,215403
B,10,Sample X34,212838
B,11,Sample X35,213796
B,12,Sample X36,212940
B,13,Sample X37,211918
B,14,Sample X38,244265
B,15,Sample X39,212724
B,16,Sample X40,212682
B,17,Sample X41,211238
B,18,Sample X42,213064
B,19,Sample X43,214046
B,20,Sample X44,212409
B,21,Sample X45,210800
B,22,Sample X46,207366
B,23,Sample X47,203688
B,24,Sample X48,200412
C,1,Sample X49,209315
C,2,Sample X50,214556
C,3,Sample X51,213479
C,4,Sample X52,213455
C,5,Sample X53,212171
C,6,Sample X54,210464
C,7,Sample X55,208532
C,8,Sample X56,207378
C,9,Sample X57,208020
C,10,Sample X58,209754
C,11,Sample X59,207706
C,12,Sample X60,210315
C,13,Sample X61,208072
C,14,Sample X62,210150
C,15,Sample X63,206521
C,16,Sample X64,209115
C,17,Sample X65,207394
C,18,Sample X66,209916
C,19,Sample X67,208039
C,20,Sample X68,207580
C,21,Sample X69,207748
C,22,Sample X70,208892
C,23,Sample X71,204875
C,24,Sample X72,201251
D,1,Sample X73,207950
D,2,Sample X74,204824
D,3,Sample X75,211300
D,4,Sample X76,209471
D,5,Sample X77,210265
D,6,Sample X78,198162
D,7,Sample X79,205152
D,8,Sample X80,201928
D,9,Sample X81,206631
D,10,Sample X82,204906
D,11,Sample X83,185805
D,12,Sample X84,208735
D,13,Sample X85,205390
D,14,Sample X86,203298
D,15,Sample X87,202962
D,16,Sample X88,201162
D,17,Sample X89,206562
D,18,Sample X90,203602
D,19,Sample X91,203209
D,20,Sample X92,202416
D,21,Sample X93,204188
D,22,Sample X94,203886
D,23,Sample X95,32156
D,24,Sample X96,43060
E,1,Sample X97,204508
E,2,Sample X98,28138
E,3,Sample X99,208202
E,4,Sample X100,205639
E,5,Sample X101,205688
E,6,Sample X102,203896
E,7,Sample X103,204032
E,8,Sample X104,200704
E,9,Sample X105,203970
E,10,Sample X106,202189
E,11,Sample X107,197774
E,12,Sample X108,192884
E,13,Sample X109,198801
E,14,Sample X110,199461
E,15,Sample X111,197637
E,16,Sample X112,200461
E,17,Sample X113,198411
E,18,Sample X114,198455
E,19,Sample X115,198765
E,20,Sample X116,200894
E,21,Sample X117,201102
E,22,Sample X118,204195
E,23,Sample X119,42334
E,24,Sample X120,40190
F,1,Sample X121,202944
F,2,Sample X122,38374
F,3,Sample X123,236967
F,4,Sample X124,204118
F,5,Sample X125,203196
F,6,Sample X126,200093
F,7,Sample X127,198981
F,8,Sample X128,193165
F,9,Sample X129,195830
F,10,Sample X130,187787
F,11,Sample X131,161508
F,12,Sample X132,31193
F,13,Sample X133,193602
F,14,Sample X134,188878
F,15,Sample X135,195162
F,16,Sample X136,195088
F,17,Sample X137,194539
F,18,Sample X138,191012
F,19,Sample X139,197074
F,20,Sample X140,194293
F,21,Sample X141,199304
F,22,Sample X142,198077
F,23,Sample X143,34679
F,24,Sample X144,43962
G,1,Sample X145,205130
G,2,Sample X146,210816
G,3,Sample X147,206498
G,4,Sample X148,205128
G,5,Sample X149,200114
G,6,Sample X150,196348
G,7,Sample X151,195198
G,8,Sample X152,194730
G,9,Sample X153,191847
G,10,Sample X154,76217
G,11,Sample X155,189802
G,12,Sample X156,191156
G,13,Sample X157,188301
G,14,Sample X158,191408
G,15,Sample X159,188875
G,16,Sample X160,189838
G,17,Sample X161,135581
G,18,Sample X162,192218
G,19,Sample X163,193407
G,20,Sample X164,195589
G,21,Sample X165,197032
G,22,Sample X166,200297
G,23,Sample X167,26978
G,24,Sample X168,27231
H,1,Sample X169,205697
H,2,Sample X170,208707
H,3,Sample X171,204603
H,4,Sample X172,201795
H,5,Sample X173,198800
H,6,Sample X174,193192
H,7,Sample X175,193281
H,8,Sample X176,188028
H,9,Sample X177,177942
H,10,Sample X178,212088
H,11,Sample X179,189180
H,12,Sample X180,188713
H,13,Sample X181,190843
H,14,Sample X182,189175
H,15,Sample X183,189832
H,16,Sample X184,182718
H,17,Sample X185,188213
H,18,Sample X186,194126
H,19,Sample X187,192776
H,20,Sample X188,190184
H,21,Sample X189,196603
H,22,Sample X190,196156
H,23,Sample X191,26530
H,24,Sample X192,26288
I,1,Sample X193,202572
I,2,Sample X194,208500
I,3,Sample X195,206005
I,4,Sample X196,204079
I,5,Sample X197,197774
I,6,Sample X198,196152
I,7,Sample X199,190923
I,8,Sample X200,190140
I,9,Sample X201,189106
I,10,Sample X202,181671
I,11,Sample X203,187622
I,12,Sample X204,191629
I,13,Sample X205,180566
I,14,Sample X206,194456
I,15,Sample X207,188921
I,16,Sample X208,190334
I,17,Sample X209,193174
