Channel_Image_QC,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05MeasureImageQuality,FileName_Image_QC,Frame_Image_QC,Group_Index,Group_Number,Height_Image_QC,ImageNumber,ImageQuality_Correlation_Image_QC_16,ImageQuality_Correlation_Image_QC_30,ImageQuality_Correlation_Image_QC_60,ImageQuality_FocusScore_Image_QC,ImageQuality_LocalFocusScore_Image_QC_16,ImageQuality_LocalFocusScore_Image_QC_30,ImageQuality_LocalFocusScore_Image_QC_60,ImageQuality_MADIntensity_Image_QC,ImageQuality_MaxIntensity_Image_QC,ImageQuality_MeanIntensity_Image_QC,ImageQuality_MedianIntensity_Image_QC,ImageQuality_MinIntensity_Image_QC,ImageQuality_PercentMaximal_Image_QC,ImageQuality_PercentMinimal_Image_QC,ImageQuality_PowerLogLogSlope_Image_QC,ImageQuality_Scaling_Image_QC,ImageQuality_StdIntensity_Image_QC,ImageQuality_ThresholdOtsu_Image_QC_2W,ImageQuality_TotalArea_Image_QC,ImageQuality_TotalIntensity_Image_QC,ImageSet_ImageSet,MD5Digest_Image_QC,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05MeasureImageQuality,PathName_Image_QC,ProcessingStatus,Scaling_Image_QC,Series_Image_QC,URL_Image_QC,Width_Image_QC
-1,0.0,0.0,2.180000000000010,0.0,59.48000000000000,LK377-RG-AZD-stitched-Scene-021-C15-C15_ORG.tif,0,11,1,5742,11,0.12932250707271100,0.05112730624928150,0.04144375436462690,0.05730691711204540,0.8778573049624780,0.5500221383899760,0.13725848221142300,0.0026855879,1.0,0.016810219045357100,0.006210422,0.0,9.39578096700893E-05,0.4353550265549020,-1.7751884923280900,65535,0.03103775,0.013685429405096200,32993532,554628.5,b'eLtlBEoLG01rgyWtGYGTGQjH+we565VkpoGLBJifgOEFciuozHBGKTxADEQBAg4xIAPsLlBh4utqBwCav5dR',78831a417a9be4e6bbcfae3bc8e60615,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-021-C15-C15_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-021-C15-C15_ORG.tif,5746
-1,0.0,0.0,2.340000000000000,0.0,53.29,LK377-RG-AZD-stitched-Scene-023-C17-C17_ORG.tif,0,12,1,5747,12,0.35950033596274200,0.31407376072698500,0.29357857147237100,0.10574434541276200,0.0781092659037459,0.04594303014908130,0.031866667425939500,0.020653696,1.0,0.0636930361454069,0.024575875,0.0,0.001330045882034210,0.44407757497155700,-1.0987748045650000,65535,0.082068133,0.027455800224267900,33635832.12,2100361.1,b'eLtlBEoLG01rgyWtGRoDU5oJCMf7B7nrlWSmgYsEmJ+A4QVyK6jMcEYpPEAMRAECDjEgA+wuUGHi62oHAJnHl04=',5407c820366a26e1579dffe05c72dce0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-023-C17-C17_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-023-C17-C17_ORG.tif,5746
-1,0.0,0.0,2.140000000000040,0.0,55.06,LK377-RG-AZD-stitched-Scene-022-C14-C14_ORG.tif,0,13,1,5741,13,0.1260577162059990,0.044264065033633300,0.02232593762538160,0.06760442109471450,1.1678182471927100,0.7270361914375840,0.14468998293036100,0.002609293,1.0,0.017379751867692100,0.006149386,0.0,4.24325656362837E-05,0.44089860414135200,-1.5758308570363200,65535,0.034277514,0.01383777882927190,32993527,573419.3,b'eLtlBEoLG01rgyWtGRkBk5kJCMf7B7nrlWSmgYsEmJ+A4QVyK6jMcEYpPEAMRAECDjEgA+wuUGHi62oHAJpyl1A=',7f33b6562fe2afe30f5cda7e8f40baad,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-022-C14-C14_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-022-C14-C14_ORG.tif,5747
-1,0.0,0.0,2.330000000000040,0.0,54.06,LK377-RG-AZD-stitched-Scene-024-C12-C12_ORG.tif,0,14,1,5743,14,0.0962342675203665,0.045159292743073000,0.03175895529981590,0.09306530449749510,2.3242980283271300,1.2600505299074500,0.14374558557910500,0.0023651486,1.0,0.018791289028673300,0.0059357597,0.0,0.0005116871618569130,0.451928762368334,-1.2757164288494000,65535,0.041818857,0.015393326450401200,33027993,620638.56,b'eLtlBEoLG01rgyWtGZkAk5kRCMf7B7nrlWSmgYsEmJ+A4QVyK6jMcEYpPEAMRAECDjEgA+wuUGHi62oHAJnYl04=',dabf1b31caab0ea160b2344968cef862,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-024-C12-C12_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-024-C12-C12_ORG.tif,5751
-1,0.0,0.0,2.230000000000020,0.0,55.890000000000000,LK377-RG-AZD-stitched-Scene-039-D6-D06_ORG.tif,0,15,1,5744,15,0.17289737994492700,0.11092073459227700,0.08284204972327330,0.1261274897036510,4.1727223159233800,2.091408350969700,0.15652154922122100,0.0033417258,1.0,0.025473524133383100,0.007080186,0.0,0.0014076515214260900,0.4574806900483340,-1.32377960838635,65535,0.05668255,0.02041957134476980,33033744,841485.9,b'eLtlBEoLG01rgyWtGVvqupjpuhiYxfsHueuVZKaBSwSYl4DBBXIqqMhwRik7QAxE+QEOMCAD7CxQWeLragcAD9GXLA==',12ccceb846c8958a420f0da88f47985d,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-039-D6-D06_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-039-D6-D06_ORG.tif,5751
-1,0.0,0.0,1.9499999999999900,0.0,55.79000000000000,LK377-RG-AZD-stitched-Scene-042-D9-D09_ORG.tif,0,16,1,5746,16,0.14548314565101700,0.08797941295885630,0.06355323657457700,0.10247441304375000,2.6677219119020600,1.431159070066130,0.1481220875265880,0.0028534369,1.0,0.020721324164368400,0.0065613794,0.0,0.0007235023909180900,0.4852733358733620,-1.2678489136773500,65535,0.046080425,0.017178381016990600,33033754,684503.1,b'eLtlBEoLG01rgyWtmRjpuljquhhYxvsHueuVZKaBSwSYl4DBBXIqqMhwRik7QAxE+QEOMCAD7CxQWeLragcAD7SXLA==',a727c5d88b0e8f45d9ad3902bbfd7398,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-042-D9-D09_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-042-D9-D09_ORG.tif,5749
-1,0.0,0.0,2.1399999999999900,0.0,55.76000000000000,LK377-RG-AZD-stitched-Scene-044-D11-D11_ORG.tif,0,17,1,5746,17,0.10541107906821200,0.04992698895936400,0.038956462511551300,0.098236048480014,2.4576000000405100,1.3483731705742300,0.12908715940879100,0.002761883,1.0,0.020336755323410600,0.006347753,0.0,0.0011739435839021100,0.45742651234189900,-1.226958188821830,65535,0.04469678,0.016217466615500700,33050992,672149.94,b'eLtlBEoLG01rgyWtmYDjA4Tj/YPc9Uoy08BFAsxPwPACuRVUZjijFB4gBqIAAYcYkAF2F6gw8XW1AwCakJdQ',1bcbdc33e91ae6a7f16cac2a12a8ce6d,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-044-D11-D11_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-044-D11-D11_ORG.tif,5752
-1,0.0,0.0,2.089999999999980,0.0,56.750000000000100,LK377-RG-AZD-stitched-Scene-045-D12-D12_ORG.tif,0,18,1,5744,18,0.12031026702612600,0.06519836212930340,0.05091161791524160,0.085814903686417,1.9315061398997300,1.1526882304696700,0.14055696478865400,0.002716106,1.0,0.01946666818807850,0.006286717,0.0,8.47470759837441E-05,0.468545396345125,-1.392352768003810,65535,0.040872123,0.015805688710042800,33039488,643168.75,b'eLtlBEoLG01rgyWtmZgC48MIhOP9g9z1SjLTwEUCzE/A8AK5FVRmOKMUHiAGogABhxiQAXYXqDDxdbUDAJuPl1M=',29a69624bffbff02e5ca5fddcbedae37,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-045-D12-D12_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-045-D12-D12_ORG.tif,5752
-1,0.0,0.0,2.0500000000000100,0.0,53.03000000000000,LK377-RG-AZD-stitched-Scene-046-D13-D13_ORG.tif,0,19,1,5744,19,0.11901871841911500,0.0481868753565375,0.030838480204783200,0.06962678338412740,1.1236408014325800,0.6945618807819820,0.11184090149591500,0.0027771422,1.0,0.018306427500908300,0.0063019763,0.0,0.00029066246820879300,0.4630253118566070,-1.6098995310131400,65535,0.03570179,0.014478751912905200,33028000,604624.7,b'eLtlBEoLG01rgyWtmZgB48MYhOP9g9z1SjLTwEUCzE/A8AK5FVRmOKMUHiAGogABhxiQAXYXqDDxdbUDAJyOl1Y=',f85a5cfb07411b978719121b299dceca,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-046-D13-D13_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-046-D13-D13_ORG.tif,5750
-1,0.0,0.0,2.0399999999999600,0.0,54.190000000000100,LK377-RG-AZD-stitched-Scene-047-D14-D14_ORG.tif,0,20,1,5744,20,0.10181746549587700,0.03672270708142610,0.024349665693686200,0.06507154667851760,0.9130018396268300,0.6126035242333690,0.09979660415634180,0.0027466242,1.0,0.01723895947882080,0.006210422,0.0,9.99499886602195E-05,0.44082185301706000,-1.5027747001426000,65535,0.033492774,0.01363989380020160,33016512,569170.3,b'eLtlBEoLG01rgyWtmZgD4wMUJybx/kHueiWZaeAiAeYnYHiB3AoqM5xRCg8QA1GAgEMMyAC7C1SY+LraAQCdjZdZ',d6a8213687cb7878e2e681ca39478fa0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-047-D14-D14_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-047-D14-D14_ORG.tif,5748
-1,0.0,0.0,2.0599999999999500,0.0,47.85000000000000,LK377-RG-AZD-stitched-Scene-048-D15-D15_ORG.tif,0,21,1,5744,21,0.1204271774854970,0.038927146527597600,0.025446458261883100,0.06766449131846760,0.8539748971828930,0.5924636466929480,0.11032426576663300,0.0030060275,1.0,0.01776612184230730,0.0065156026,0.0,0.00019687118978528100,0.4686170362272070,-1.4182391994840400,65535,0.03467183,0.013556075084006400,33016512,586575.4,b'eLtlBEoLG01rgyWtmVgA48MUhOP9g9z1SjLTwEUCzE/A8AK5FVRmOKMUHiAGogABhxiQAXYXqDDxdbUDAJ6Ml1w=',af1e7f2c477fd1af63f9a38e1960dc4b,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-048-D15-D15_ORG.tif,0,0,0,0,0,0,0,/Volumes/HB-5TB/Microscopy Image QC pipeline images/supplementary,Done,65535,0,file:/Volumes/HB-5TB/Microscopy%20Image%20QC%20pipeline%20images/supplementary/LK377-RG-AZD-stitched-Scene-048-D15-D15_ORG.tif,5748
